date,tmin,tmax,rhday,rhnight,wind,wc,cod_wc,ra,et0_pmfao56_raxwc
2022-06-01,3.0,12.0,66.0,89.0,14.0,Parcialmente nublado,0.7,17.41000955455702,2.6209890750430813
2022-06-02,6.0,14.0,75.0,74.0,11.0,Parcialmente nublado,0.7,17.323256610735168,2.1508690643064146
2022-06-03,7.0,12.0,82.0,85.0,12.0,Lluvia,0.05,17.240746427242645,1.3315943485627761
2022-06-04,6.0,14.0,77.0,85.0,11.0,Muy nublado,0.3,17.162498582803057,1.934331520223723
2022-06-05,3.0,16.0,73.0,83.0,11.0,Mayormente soleado,0.7,17.088531386287734,2.3299387744532063
2022-06-06,4.0,18.0,59.0,80.0,11.0,Mayormente soleado,0.7,17.018861900775242,3.650393103589935
2022-06-07,5.0,18.0,67.0,83.0,10.0,Mayormente soleado,0.7,16.953505967123995,2.9674156454413714
2022-06-08,4.0,16.0,71.0,91.0,12.0,Muy nublado,0.3,16.892478226932162,2.509973352028211
2022-06-09,5.0,18.0,66.0,64.0,10.0,Nublado,0.5,16.835792144763012,3.0111360792673048
2022-06-10,6.0,22.0,40.0,47.0,9.0,Mayormente soleado,0.7,16.783460029518697,5.6080396087319
2022-06-11,5.0,20.0,41.0,71.0,11.0,Mayormente soleado,0.7,16.735493054850483,5.500485492014944
2022-06-12,5.0,19.0,59.0,83.0,11.0,Nublado,0.5,16.6919012784992,3.7981460743346
2022-06-13,4.0,14.0,72.0,94.0,13.0,Nublado,0.5,16.6526936604661,2.3273427377903206
2022-06-14,3.0,14.0,78.0,88.0,12.0,Parcialmente nublado,0.7,16.617878079920875,1.8396192115404901
2022-06-15,5.0,15.0,77.0,92.0,13.0,Parcialmente nublado,0.7,16.587461350761064,2.083348717683901
2022-06-16,0.0,12.0,80.0,92.0,11.0,Parcialmente nublado,0.7,16.561449235744576,1.4719146283165931
2022-06-17,2.0,15.0,65.0,69.0,10.0,Mayormente soleado,0.7,16.53984645912528,2.670062149255338
2022-06-18,5.0,16.0,56.0,70.0,10.0,Muy nublado,0.3,16.522656717730005,3.519911404830635
2022-06-19,4.0,15.0,57.0,70.0,8.0,Nublado,0.5,16.50988269042417,3.0433662549845044
2022-06-20,4.0,13.0,65.0,82.0,11.0,Nublado,0.5,16.50152604592202,2.6226132202664023
2022-06-21,4.0,13.0,77.0,89.0,10.0,Nublado,0.5,16.497587448907208,1.7718865439380413
2022-06-22,5.0,14.0,80.0,88.0,8.0,Chubascos,0.2,16.49806656443842,1.491713527785583
2022-06-23,4.0,11.0,86.0,87.0,9.0,Lluvia,0.05,16.502962060624665,0.8561118619056249
2022-06-24,4.0,14.0,74.0,81.0,10.0,Nublado,0.5,16.512271609564174,2.035320155050835
