,temp,clouds,pressure,wind,humidity
1525694400,9.67,40,1021,0.0,97
1525701600,14.13,92,1020,0.98,80
1525708800,16.2,82,1019,1.26,77
1525716000,19.67,91,1017,1.5,53
1525723200,17.49,93,1018,1.92,72
1525730400,14.69,99,1017,2.42,77
1525773600,12.18,16,1015,0.87,79
1525780800,8.67,15,1017,0.0,97
1525788000,14.94,37,1016,0.57,72
1525795200,17.26,36,1016,1.5,65
1525802400,19.87,1,1014,0.0,52
1525809600,19.2,72,1014,2.4,61
1525816800,15.94,58,1015,2.45,75
1525860000,11.83,100,1017,0.9,86
1525867200,9.67,75,1019,0.0,95
1525874400,12.43,76,1019,0.96,83
1525881600,14.92,83,1019,1.01,80
1525888800,18.37,40,1018,2.6,54
1525896000,16.71,48,1018,2.41,70
1525903200,14.29,98,1020,1.88,82
1525946400,9.37,48,1023,1.01,89
1525953600,5.77,1,1027,0.0,94
1525960800,13.72,23,1025,0.11,76
1525968000,16.73,6,1025,2.49,71
1525975200,18.27,1,1024,1.0,49
1525982400,19.68,2,1023,1.17,50
1525989600,15.75,0,1022,2.51,67
1526032800,7.15,75,1019,1.26,60
1526040000,5.47,1,1022,0.0,95
1526047200,15.98,5,1018,0.94,47
1526054400,20.83,4,1016,0.97,38
1526061600,22.47,1,1014,0.0,32
1526068800,24.39,12,1013,1.47,37
1526076000,22.47,72,1013,1.51,42
1526119200,5.07,0,1013,1.33,59
1526126400,4.57,1,1017,1.5,88
1526133600,16.19,21,1015,1.0,49
1526140800,21.27,9,1015,1.48,37
1526148000,24.27,40,1013,2.1,27
1526155200,20.66,93,1014,2.42,48
1526162400,14.53,96,1015,2.59,77
1526205600,11.58,98,1016,0.19,84
1526212800,10.47,90,1019,0.0,89
1526220000,13.24,94,1017,1.08,72
1526227200,15.16,92,1016,2.04,68
1526234400,13.97,40,1017,0.0,70
1526241600,15.94,99,1015,2.22,66
1526248800,12.79,100,1016,1.67,82
1526292000,9.78,8,1018,1.34,88
1526299200,5.87,77,1021,0.0,97
1526306400,13.2,97,1019,1.25,73
1526313600,14.96,100,1019,1.8,71
1526320800,16.27,40,1019,1.0,55
1526328000,17.1,98,1016,1.64,63
1526335200,13.95,99,1017,2.57,79
1526378400,10.47,100,1017,0.96,66
1526385600,10.37,90,1020,0.0,85
1526392800,14.15,100,1018,0.42,64
1526400000,15.55,97,1017,1.25,62
1526407200,14.67,90,1018,0.5,65
1526414400,16.12,100,1017,1.91,70
1526421600,15.4,100,1017,1.92,62
1526464800,15.26,98,1016,1.35,41
1526472000,12.07,90,1018,1.0,72
1526479200,15.5,83,1016,1.44,61
1526486400,18.51,25,1014,1.0,56
1526493600,17.97,75,1015,1.5,41
1526500800,18.48,70,1015,2.85,54
1526508000,13.56,63,1017,1.69,75
1526551200,9.19,37,1017,0.91,74
1526558400,4.87,1,1020,0.0,93
1526565600,13.88,42,1018,0.97,66
1526572800,17.44,6,1017,2.36,48
1526580000,19.47,1,1017,0.0,33
1526587200,18.68,4,1017,1.9,42
1526594400,16.32,2,1017,2.58,60
1526637600,6.41,13,1020,1.53,64
1526644800,3.87,1,1024,0.0,94
1526652000,13.43,10,1021,0.87,47
1526659200,17.29,1,1020,1.07,43
1526666400,19.67,1,1020,0.0,35
1526673600,20.98,0,1019,1.81,38
1526680800,18.24,0,1019,0.51,42
1526724000,3.61,98,1018,1.32,46
1526731200,2.77,98,1023,0.0,89
1526738400,14.66,92,1019,1.33,45
1526745600,19.54,100,1018,1.22,28
1526752800,22.51,99,1016,1.8,25
1526760000,22.2,100,1016,1.44,36
1526767200,20.47,100,1016,1.82,41
1526810400,4.74,86,1016,1.2,56
1526817600,1.87,1,1021,0.0,77
1526824800,14.98,50,1017,0.94,52
1526832000,19.53,33,1017,1.65,33
1526839200,22.87,20,1015,0.5,16
1526846400,21.39,28,1015,1.22,37
1526853600,19.14,78,1015,2.13,44
1526896800,9.96,0,1018,1.07,55
1526904000,5.37,20,1021,0.0,73
1526911200,13.94,34,1018,0.76,56
1526918400,18.21,30,1019,2.04,44
1526925600,20.07,40,1017,1.0,35
1526932800,19.29,85,1017,2.38,55
1526940000,14.4,82,1017,2.63,74
1526983200,5.51,12,1017,1.15,65
1526990400,4.67,1,1020,0.0,93
1526997600,13.07,1,1016,0.83,54
1527004800,17.47,0,1015,1.39,46
1527012000,20.97,1,1014,1.0,35
1527019200,20.53,0,1014,1.7,42
1527026400,16.92,0,1014,1.32,56
1527069600,3.72,0,1017,1.37,59
1527076800,3.67,1,1021,0.0,93
1527084000,13.25,0,1018,1.03,53
1527091200,18.19,0,1018,1.09,40
1527098400,22.67,1,1016,1.0,26
1527105600,20.57,12,1017,1.43,45
1527112800,17.75,6,1017,1.42,53
1527156000,4.06,0,1017,1.44,59
1527163200,3.97,1,1021,0.0,88
1527170400,14.53,5,1018,1.5,51
1527177600,19.2,21,1017,1.04,39
1527184800,24.07,1,1015,0.0,18
1527192000,22.24,79,1015,1.09,39
1527199200,19.15,42,1015,2.5,46
1527242400,2.54,0,1015,1.43,56
1527249600,3.27,1,1019,0.0,75
1527256800,13.25,0,1016,1.38,43
1527264000,18.35,0,1016,1.27,31
1527271200,23.77,1,1013,0.5,17
1527278400,20.53,0,1012,1.2,39
1527285600,16.11,8,1013,2.34,55
1527328800,9.64,78,1016,0.47,51
1527336000,5.47,40,1019,0.0,95
1527343200,9.96,78,1018,0.35,57
1527350400,13.45,71,1017,1.36,55
1527357600,11.67,75,1019,1.5,65
1527364800,15.33,78,1017,2.56,61
1527372000,11.93,0,1018,0.7,76
1527415200,3.25,87,1016,1.15,61
1527422400,1.17,20,1021,0.0,97
1527429600,10.95,94,1017,0.56,56
1527436800,15.7,93,1015,1.62,40
1527444000,19.57,40,1015,0.0,25
1527451200,17.69,67,1015,1.68,47
1527458400,15.43,16,1015,1.91,61
1527501600,11.67,100,1017,0.92,58
1527508800,9.97,75,1020,0.0,71
1527516000,11.13,100,1017,2.09,71
1527523200,12.5,100,1016,0.72,70
1527530400,14.47,90,1015,2.1,56
1527537600,13.68,100,1016,1.53,77
1527544800,13.52,100,1017,0.74,70
1527588000,10.65,100,1016,1.19,78
1527595200,14.37,90,1020,0.0,57
1527602400,11.16,100,1021,1.52,84
1527609600,11.79,100,1021,1.98,88
1527616800,12.02,100,1021,2.28,87
1527624000,11.81,100,1021,2.63,85
1527631200,11.26,71,1020,1.78,80
1527674400,10.28,99,1020,0.44,72
1527681600,9.27,90,1022,0.5,96
1527688800,10.86,98,1020,0.91,80
1527696000,12.67,92,1020,1.69,77
1527703200,11.87,90,1021,1.0,79
1527710400,13.18,69,1019,2.18,81
1527717600,10.41,75,1020,1.98,94
1527760800,5.58,96,1021,0.68,89
1527768000,6.57,75,1022,0.0,77
1527775200,8.15,62,1021,1.47,80
1527782400,10.03,54,1021,2.48,76
1527789600,11.77,20,1020,1.0,60
1527796800,10.71,23,1018,2.78,67
1527804000,6.74,31,1019,2.91,79
1527847200,1.59,4,1015,1.63,71
1527854400,0.27,1,1019,0.0,98
1527861600,9.23,0,1017,0.11,60
1527868800,11.98,0,1016,1.64,56
1527876000,12.87,1,1016,1.5,45
1527883200,13.98,0,1014,1.77,56
1527890400,9.16,0,1015,2.35,78
1527933600,0.34,9,1017,1.18,65
1527940800,-0.73,1,1021,0.0,97
1527948000,8.51,4,1019,1.08,62
1527955200,13.45,0,1017,0.89,49
1527962400,15.17,0,1016,1.0,37
1527969600,15.15,0,1015,1.77,57
1527976800,10.65,0,1016,1.59,71
1528020000,3.7,90,1022,0.46,91
1528027200,5.87,90,1024,0.0,88
1528034400,7.46,45,1025,0.25,74
1528041600,10.35,35,1024,1.34,67
1528048800,12.07,1,1024,1.0,48
1528056000,12.87,8,1023,2.33,57
1528063200,11.04,2,1024,2.1,64
1528106400,-0.62,78,1024,1.67,65
1528113600,-0.04,95,1024,1.83,63
1528120800,5.82,98,1023,1.29,72
1528128000,10.79,89,1023,0.92,55
1528135200,9.67,75,1025,1.0,52
1528142400,12.6,83,1023,0.52,61
1528149600,12.51,62,1024,1.23,52
1528192800,0.3,62,1022,1.12,66
1528200000,-1.03,40,1026,0.0,94
1528207200,7.49,100,1022,1.08,69
1528214400,10.07,100,1022,0.64,65
1528221600,7.77,75,1023,0.0,51
1528228800,13.05,100,1020,1.95,48
1528236000,12.16,100,1021,1.07,56
1528279200,2.87,28,1019,1.3,86
1528286400,0.77,1,1023,0.0,82
1528293600,10.77,44,1019,1.74,69
1528300800,15.31,25,1018,1.77,52
1528308000,17.97,35,1018,0.0,29
1528315200,18.27,2,1016,2.11,50
1528322400,15.56,0,1018,2.39,60
1528365600,3.29,33,1018,1.79,64
1528372800,2.17,40,1022,0.0,92
1528380000,11.39,1,1017,1.88,65
1528387200,16.95,0,1016,0.46,32
1528394400,18.37,40,1016,1.0,34
1528401600,21.15,0,1015,1.54,27
1528408800,20.28,7,1016,1.25,32
1528452000,6.17,6,1016,0.42,68
1528459200,3.87,40,1020,0.0,83
1528466400,12.31,90,1016,1.1,64
1528473600,17.47,94,1016,1.53,44
1528480800,20.17,40,1014,0.0,28
1528488000,18.42,98,1013,1.34,54
1528495200,15.92,99,1012,0.9,58
1528538400,13.02,100,1008,0.09,51
1528545600,11.97,99,1009,0.64,56
1528552800,11.47,100,1009,0.19,63
1528560000,12.29,100,1009,0.96,72
1528567200,13.29,100,1008,0.42,69
1528574400,13.84,100,1007,1.64,75
1528581600,10.59,100,1007,2.19,87
1528624800,7.83,68,1014,1.51,79
1528632000,8.46,73,1015,1.36,77
1528639200,10.39,58,1016,1.05,72
1528646400,11.76,29,1014,0.51,60
1528653600,12.68,50,1014,2.97,62
1528660800,12.18,62,1014,2.04,67
1528668000,8.51,38,1014,0.45,79
1528711200,3.7,100,1017,1.55,96
1528718400,4.17,90,1021,0.5,91
1528725600,5.59,100,1023,2.19,82
1528732800,7.0,86,1025,0.65,76
1528740000,8.57,40,1024,0.0,67
1528747200,5.66,43,1026,0.84,81
1528754400,6.05,51,1027,0.54,77
1528797600,-2.5,14,1030,2.11,85
1528804800,-1.63,1,1032,0.0,99
1528812000,2.71,5,1030,2.1,77
1528819200,8.15,0,1028,1.08,51
1528826400,10.27,1,1027,0.5,53
1528833600,11.54,0,1025,1.44,51
1528840800,8.22,0,1025,1.0,61
1528884000,-1.2,0,1024,1.89,47
1528891200,-2.03,1,1027,0.0,97
1528898400,4.34,41,1024,1.75,67
1528905600,9.75,34,1024,0.76,46
1528912800,11.77,20,1023,1.0,41
1528920000,12.68,96,1022,1.05,48
1528927200,11.19,100,1022,1.32,49
1528970400,1.54,0,1023,0.81,71
1528977600,0.93,0,1023,1.48,72
1528984800,6.3,0,1025,1.35,70
1528992000,12.31,40,1024,0.92,49
1528999200,14.17,20,1023,0.5,37
1529006400,15.01,19,1022,0.98,46
1529013600,8.85,74,1022,0.91,68
1529056800,6.9,99,1020,1.54,67
1529064000,7.37,40,1023,0.0,70
1529071200,9.23,96,1021,2.76,68
1529078400,13.04,100,1020,1.69,66
1529085600,15.77,90,1021,0.0,37
1529092800,15.32,99,1019,0.87,81
1529100000,11.34,64,1019,1.45,81
1529143200,2.98,0,1019,1.85,73
1529150400,2.17,1,1023,0.0,96
1529157600,9.3,1,1020,1.89,68
1529164800,16.28,1,1019,0.64,50
1529172000,20.97,1,1018,0.0,29
1529179200,19.5,0,1017,0.65,53
1529186400,15.6,0,1018,1.39,65
1529229600,3.41,0,1018,1.59,67
1529236800,2.77,1,1023,0.0,94
1529244000,10.07,0,1019,1.93,70
1529251200,17.19,0,1019,0.77,52
1529258400,23.47,1,1017,0.5,22
1529265600,20.12,0,1017,1.07,59
1529272800,17.57,0,1017,0.82,62
1529316000,4.07,43,1016,1.55,62
1529323200,3.37,1,1019,0.0,91
1529330400,11.0,74,1015,1.9,70
1529337600,17.86,91,1015,0.88,54
1529344800,24.77,100,1013,0.0,19
1529352000,21.45,97,1013,0.92,65
1529359200,19.52,94,1015,1.13,60
1529402400,5.14,79,1018,0.88,55
1529409600,5.36,39,1019,1.37,63
1529416800,8.67,19,1019,1.48,67
1529424000,13.0,10,1020,1.36,61
1529431200,13.87,20,1020,1.0,62
1529438400,14.73,0,1018,0.92,71
1529445600,12.08,0,1018,1.68,82
1529488800,5.17,4,1019,0.83,56
1529496000,2.87,20,1023,0.0,98
