date,temp,rh,pressure,rs,wind,t_p ,Hr_p,pa_p ,rs_p ,wind_p 
03-04-2021,19,57.6,956,20.9,8.7,100,100,100,100,100
04-04-2021,14.8,71.8,958,13.1,13.2,100,100,100,100,100
05-04-2021,17.6,66.2,959,15.4,9.6,100,100,100,100,100
06-04-2021,16.9,67.2,960,19.4,9.5,100,100,100,100,100
07-04-2021,17.4,62.6,960,19.4,9.3,100,100,100,100,100
08-04-2021,17.8,59.2,962,19.1,13.3,100,100,100,100,100
09-04-2021,15.4,57.4,961,19.2,10.1,100,100,100,100,100
10-04-2021,15.3,56.3,964,19.4,11.9,100,100,100,100,100
11-04-2021,17.4,48.2,959,20.2,7.2,100,100,100,100,100
12-04-2021,18.2,39.9,959,19.9,7.4,100,100,100,100,100
13-04-2021,19.6,41.2,957,19.4,8.6,100,100,100,100,100
14-04-2021,17.8,58.6,958,18.2,9.9,100,100,100,100,100
15-04-2021,17.4,61.5,958,18.4,7.5,100,100,100,100,100
16-04-2021,18,54.4,959,18.2,8.9,100,100,100,100,100
17-04-2021,14.9,77.4,961,15.8,14.5,100,100,100,100,100
18-04-2021,17.3,68.7,959,14.1,9.5,100,100,100,100,100
19-04-2021,13.8,74.4,959,17.4,11.5,100,100,100,100,100
20-04-2021,14.8,68.1,959,13.1,9.9,100,100,100,100,100
21-04-2021,17.6,53.9,961,17.5,15.1,100,100,100,100,100
22-04-2021,14,72.2,959,16,9.3,100,100,100,100,100
23-04-2021,12.9,81,962,2.6,6.2,100,100,100,100,100
24-04-2021,14.4,64,962,17,8.1,100,100,100,100,100
25-04-2021,15,55.4,960,17,6.6,100,100,100,100,100
26-04-2021,15.4,55.8,959,16.8,6.8,100,100,100,100,100
27-04-2021,13.8,70.4,961,15.5,10.2,100,100,100,100,100
28-04-2021,15.2,60,961,16.1,9,100,100,100,100,100
29-04-2021,14.2,64.1,961,15.4,8.8,100,100,100,100,100
30-04-2021,12.4,82.2,963,5.3,6.8,100,100,100,100,100
01-05-2021,12.1,73.8,963,9.8,6.3,100,100,100,100,100
02-05-2021,14.8,62.1,961,9.5,7.9,100,100,100,100,100
03-05-2021,13.2,67.4,961,12.6,11.2,100,100,100,100,100
04-05-2021,12.1,73.3,964,9.3,7.7,100,100,100,100,100
05-05-2021,13.4,65.4,965,14.7,6,100,100,100,100,100
06-05-2021,15.1,53.8,960,15.2,6.6,100,100,100,100,100
07-05-2021,14.7,62.1,961,12.5,11.3,100,100,100,100,100
08-05-2021,12.4,71.2,964,7.8,5.8,100,100,100,100,100
09-05-2021,13.6,65.3,963,13.8,5.6,100,100,100,100,100
10-05-2021,13.6,57.4,961,14.4,6.6,100,100,100,100,100
11-05-2021,13.8,51.1,961,14.5,4.9,100,100,100,100,100
12-05-2021,14.2,40.7,958,14.4,6.6,100,100,100,100,100
13-05-2021,12.2,54.7,961,4.7,5.9,100,100,100,100,100
14-05-2021,15,54.7,960,15.2,9.5,63,63,63,63,63
15-05-2021,13.8,62.7,961,5.1,4.7,100,100,100,100,100
16-05-2021,13.2,61.2,961,9.8,4.9,100,100,100,100,100
17-05-2021,16.6,56.2,959,13,9.3,100,100,100,100,100
18-05-2021,10.6,85.6,960,2.5,6.8,100,100,100,100,100
19-05-2021,12.2,72.1,962,6.8,6.8,100,100,100,100,100
20-05-2021,10.3,78.7,961,5.7,7.7,100,100,100,100,100
21-05-2021,10.2,76.9,967,13,6.6,100,100,100,100,100
22-05-2021,8.4,70.6,966,13,5,100,100,100,100,100
23-05-2021,9.6,60.6,963,13.5,3.3,100,100,100,100,100
24-05-2021,12.6,56.4,963,12.9,5.9,100,100,100,100,100
25-05-2021,12.8,56.4,963,13,5.8,100,100,100,100,100
26-05-2021,13.2,54.4,963,12.5,2.9,100,100,100,100,100
27-05-2021,11.8,56.6,961,12.3,7.8,100,100,100,100,100
28-05-2021,13,72,963,11.8,8.3,100,100,100,100,100
29-05-2021,10.8,82.8,964,4.3,5.6,100,100,100,100,100
30-05-2021,11.2,66.4,966,11.4,6.5,100,100,100,100,100
31-05-2021,15.8,50.6,967,11.5,7,100,100,100,100,100
01-06-2021,15.6,59.4,964,4.4,8.7,100,100,100,100,100
02-06-2021,16.2,64,961,11.2,7.8,100,100,100,100,100
03-06-2021,15.6,62.8,959,11.2,6.6,100,100,100,100,100
04-06-2021,12.6,80.8,960,6.2,10,100,100,100,100,100
05-06-2021,15,71.6,962,8.8,8.5,100,100,100,100,100
06-06-2021,13,69.9,961,7.6,8.8,100,100,100,100,100
07-06-2021,14.5,57.7,962,10.1,7.6,100,100,100,100,100
08-06-2021,12,57.6,962,11.6,5.5,100,100,100,100,100
09-06-2021,11.4,71.6,967,8.3,6.9,100,100,100,100,100
10-06-2021,12.8,70.4,969,10.2,5.8,100,100,100,100,100
11-06-2021,13,55.6,963,11.9,5.1,100,100,100,100,100
12-06-2021,14.3,44.6,959,11.9,7.2,100,100,100,100,100
13-06-2021,10.4,71.8,961,11.4,7.5,100,100,100,100,100
14-06-2021,11.5,65.6,960,10.6,7.7,100,100,100,100,100
15-06-2021,9.8,82.6,962,5.2,9.6,100,100,100,100,100
16-06-2021,12.2,67.3,964,10.4,6.8,100,100,100,100,100
17-06-2021,9.6,72.7,961,10.9,5.8,100,100,100,100,100
18-06-2021,7.7,78.6,963,9.5,6.3,100,100,100,100,100
19-06-2021,9.8,74.2,964,6.7,4.6,100,100,100,100,100
20-06-2021,7.4,78.5,964,5,5.4,100,100,100,100,100
21-06-2021,9.5,62.1,964,10.2,4.4,100,100,100,100,100
22-06-2021,9.7,56,958,9.4,8.1,100,100,100,100,100
23-06-2021,8,88.2,964,2,7.3,100,100,100,100,100
24-06-2021,6.8,88,967,4.1,5.2,100,100,100,100,100
25-06-2021,8.6,89,964,1.8,10.2,100,100,100,100,100
26-06-2021,7,76.2,968,11.3,9,100,100,100,100,100
27-06-2021,5.5,69.8,967,9.5,3.4,100,100,100,100,100
28-06-2021,8.3,56.1,966,13.2,3.3,100,100,100,100,100
29-06-2021,9.5,55.2,963,10.5,2.7,100,100,100,100,100
30-06-2021,8.9,63.5,961,7,7.5,100,100,100,100,100
01-07-2021,8.3,66.4,964,10.3,6.7,100,100,100,100,100
02-07-2021,8.8,65,967,11.1,6.6,100,100,100,100,100
03-07-2021,9.5,60.9,962,9.3,5.1,100,100,100,100,100
04-07-2021,9.6,63.4,963,11.4,4.8,100,100,100,100,100
05-07-2021,10.6,60,961,12,9.4,100,100,100,100,100
06-07-2021,8.2,74.7,966,6.7,8.1,100,100,100,100,100
07-07-2021,9.2,62.1,963,11.5,8.1,100,100,100,100,100
08-07-2021,10.7,57.4,960,12.1,7.7,100,100,100,100,100
09-07-2021,7.2,79.2,966,7.7,7.2,100,100,100,100,100
10-07-2021,8.7,67.4,962,11.4,4,100,100,100,100,100
11-07-2021,10.5,56.4,957,10.4,7.5,100,100,100,100,100
12-07-2021,6.4,84.1,962,2.9,6.9,100,100,100,100,100
13-07-2021,5.4,77.8,963,11,3.8,100,100,100,100,100
14-07-2021,5.6,75.1,966,10.9,4.6,100,100,100,100,100
15-07-2021,7.4,64.8,964,12,6,100,100,100,100,100
16-07-2021,7.4,60.1,967,12.1,7.1,100,100,100,100,100
17-07-2021,7.9,59.6,967,12.7,2.6,100,100,100,100,100
18-07-2021,10.6,45.9,962,13.6,3.7,100,100,100,100,100
19-07-2021,11.2,39.5,961,13.2,6.3,100,100,100,100,100
20-07-2021,13.6,35.2,958,13.1,4.4,100,100,100,100,100
21-07-2021,13.6,46.6,960,12.2,6.7,100,100,100,100,100
22-07-2021,13.1,52,961,12.5,5.5,100,100,100,100,100
23-07-2021,10.8,61.8,959,12.4,10.3,100,100,100,100,100
24-07-2021,7.4,79.5,963,2.5,6,100,100,100,100,100
25-07-2021,10,67.4,964,12,9.5,100,100,100,100,100
26-07-2021,10.1,72.2,969,10.9,6.9,100,100,100,100,100
27-07-2021,7.2,67.8,967,13.3,6.1,100,100,100,100,100
28-07-2021,10.4,50.6,963,14.3,4.5,100,100,100,100,100
29-07-2021,10.8,37.6,960,14.6,5.3,100,100,100,100,100
30-07-2021,10.6,51.5,962,14.1,7,100,100,100,100,100
31-07-2021,10.9,58,965,14,5.2,100,100,100,100,100
01-08-2021,13.8,37.9,964,14.7,6.4,100,100,100,100,100
02-08-2021,14.2,34.4,962,14.8,5.7,100,100,100,100,100
03-08-2021,12.5,49.4,961,14.6,6.3,100,100,100,100,100
04-08-2021,10.9,61.6,960,14.6,9.5,100,100,100,100,100
05-08-2021,10,76,964,10.3,9.7,100,100,100,100,100
06-08-2021,10.5,69.8,962,13.5,8.9,100,100,100,100,100
07-08-2021,8.3,85.2,963,1.8,5.5,100,100,100,100,100
08-08-2021,9.8,70.6,967,7.2,7.7,100,100,100,100,100
09-08-2021,8.8,71.7,967,13.9,6.5,100,100,100,100,100
10-08-2021,9.8,59.4,965,15.1,4.7,100,100,100,100,100
11-08-2021,9.8,55.9,962,15.3,8.5,100,100,100,100,100
12-08-2021,6.5,81.2,964,11,10.6,100,100,100,100,100
13-08-2021,8.1,68.6,966,12.1,5.7,100,100,100,100,100
14-08-2021,8.9,58.9,963,13.8,7.8,100,100,100,100,100
15-08-2021,9,75.8,963,4.3,10.3,100,100,100,100,100
16-08-2021,12,63.1,962,9.3,8.5,100,100,100,100,100
17-08-2021,14.2,65.8,962,9.5,9.4,100,100,100,100,100
18-08-2021,12.4,85.4,962,3.5,11.7,100,100,100,100,100
19-08-2021,11.3,74.8,965,11.4,11.4,100,100,100,100,100
20-08-2021,9,76.8,964,6.7,4.9,100,100,100,100,100
21-08-2021,12,72.3,960,9.6,14.1,100,100,100,100,100
22-08-2021,12.4,65.8,962,15.3,10.3,100,100,100,100,100
23-08-2021,10.4,68.4,958,8.7,12.6,100,100,100,100,100
24-08-2021,9.2,69,961,15.5,8.7,100,100,100,100,100
25-08-2021,10.2,67.2,968,14.1,13,100,100,100,100,100
26-08-2021,9.7,66.8,966,18.2,7.1,100,100,100,100,100
27-08-2021,9.9,68,964,6.6,7.5,100,100,100,100,100
28-08-2021,15.5,57.6,964,11.4,7.8,100,100,100,100,100
29-08-2021,15.6,60.8,960,18.8,11.1,100,100,100,100,100
30-08-2021,10.8,81.6,962,9.4,10,100,100,100,100,100
31-08-2021,13.2,70.2,962,12.7,7.7,100,100,100,100,100
01-09-2021,11.2,70.8,961,9.8,6.1,100,100,100,100,100
02-09-2021,13.2,70.4,963,18.1,11.8,100,100,100,100,100
03-09-2021,11,82,963,5.1,10.9,100,100,100,100,100
04-09-2021,13.2,55.3,964,19.5,10,100,100,100,100,100
05-09-2021,11.6,64.4,962,19.9,11.9,100,100,100,100,100
06-09-2021,11.4,69.5,965,12.7,13.5,100,100,100,100,100
07-09-2021,10,59.2,968,13.3,10.9,100,100,100,100,100
08-09-2021,9.6,59.7,967,20.9,6.8,100,100,100,100,100
09-09-2021,13,45.5,961,21,4,100,100,100,100,100
10-09-2021,14.2,58,958,20.4,11.9,100,100,100,100,100
11-09-2021,11.1,71.8,958,5.3,14.7,100,100,100,100,100
12-09-2021,12,70.2,964,11.2,16.5,100,100,100,100,100
13-09-2021,8.8,71,968,13.7,10.1,100,100,100,100,100
14-09-2021,10.4,57.8,965,22.6,8.8,100,100,100,100,100
15-09-2021,12.1,48.8,965,22.2,8.8,100,100,100,100,100
16-09-2021,14,48.6,962,22.6,10.2,100,100,100,100,100
17-09-2021,14,61.6,963,22.1,11.7,100,100,100,100,100
18-09-2021,13.2,70,961,20.4,12.5,100,100,100,100,100
19-09-2021,11.6,70.6,963,18.5,12.3,100,100,100,100,100
20-09-2021,14,55.8,963,22.9,8.3,100,100,100,100,100
21-09-2021,12.6,60.8,961,22.5,13.2,100,100,100,100,100
22-09-2021,14.6,58.8,966,21.3,11.9,100,100,100,100,100
23-09-2021,15.9,50.7,962,24.2,8.7,100,100,100,100,100
24-09-2021,19.4,48.4,958,24.6,13.1,100,100,100,100,100
25-09-2021,15.6,66.6,964,20.8,13.9,100,100,100,100,100
26-09-2021,15,60.8,962,24.2,10.3,100,100,100,100,100
27-09-2021,16.4,55.8,962,24.3,9.8,100,100,100,100,100
28-09-2021,17.6,42.7,961,24.7,10.6,100,100,100,100,100
29-09-2021,15,34.2,959,15.8,12,100,100,100,100,100
30-09-2021,12.2,48.9,964,25.2,14,100,100,100,100,100
01-10-2021,13.9,56.9,963,24.7,13.7,100,100,100,100,100
02-10-2021,12.4,57.2,964,25.2,15,100,100,100,100,100
03-10-2021,12.7,48.2,962,25.9,12.5,100,100,100,100,100
04-10-2021,14.8,46,959,25.7,11.1,100,100,100,100,100
05-10-2021,14.6,52.6,959,25.4,11.9,100,100,100,100,100
06-10-2021,16.2,41.6,958,26,10.2,100,100,100,100,100
07-10-2021,14.8,52.2,957,26,14.4,100,100,100,100,100
08-10-2021,12.8,71.9,962,13.7,11.1,100,100,100,100,100
09-10-2021,13.3,61.8,960,26,14,100,100,100,100,100
10-10-2021,16,57.6,964,22.5,12,100,100,100,100,100
11-10-2021,17.9,51.7,958,27.4,12.7,100,100,100,100,100
12-10-2021,14.6,64.6,961,16.6,14.5,100,100,100,100,100
13-10-2021,15.6,59,962,23.6,13.6,100,100,100,100,100
14-10-2021,11.9,65.2,964,13.7,14.1,100,100,100,100,100
15-10-2021,12.2,52,965,27.9,12.1,100,100,100,100,100
16-10-2021,14.4,48.8,965,28.1,13.5,100,100,100,100,100
17-10-2021,15.9,46.2,964,28.2,10.6,100,100,100,100,100
18-10-2021,18.4,37.8,961,29.3,11.3,100,100,100,100,100
19-10-2021,20,52.2,958,27.7,13.3,100,100,100,100,100
20-10-2021,13.8,74.5,964,19.2,13.7,100,100,100,100,100
21-10-2021,16.1,60.4,962,22.6,11.4,100,100,100,100,100
22-10-2021,16.1,62.2,962,24.1,17.7,100,100,100,100,100
23-10-2021,15.1,49.7,965,28.7,11.9,100,100,100,100,100
