date,temp,rh,pressure,rs,wind,t_p ,Hr_p,pa_p ,rs_p ,wind_p 
07-02-2022,22.4,48.8,959,30.5,0,100,100,100,100,100
08-02-2022,22.6,54.3,958,30.5,0,100,100,100,100,100
09-02-2022,21.8,51.2,956,29.9,0,100,100,100,100,100
10-02-2022,18.8,71.8,958,27.9,0,100,100,100,100,100
11-02-2022,21.8,55.6,959,28.9,0,100,100,100,100,100
12-02-2022,23.2,37.4,956,29.1,0,100,100,100,100,100
13-02-2022,21.2,51.2,958,28.2,0,100,100,100,100,100
14-02-2022,21.4,60.8,959,28.7,0,100,100,100,100,100
15-02-2022,19.6,67.6,960,28.1,0,100,100,100,100,100
16-02-2022,22.4,53.6,960,30,0,100,100,100,100,100
17-02-2022,23.3,45.8,957,29.6,0,100,100,100,100,100
18-02-2022,21.8,39.7,957,28.8,0,100,100,100,100,100
19-02-2022,20.4,39.8,960,29.1,0,100,100,100,100,100
20-02-2022,20.2,47.1,958,23.8,0,100,100,100,100,100
21-02-2022,19.4,55.1,957,25.9,0,100,100,100,100,100
22-02-2022,18.4,58,959,25.6,0,100,100,100,100,100
23-02-2022,18.4,52,961,27.1,0,100,100,100,100,100
24-02-2022,18.6,60.7,961,29.4,4.5,100,100,100,100,100
25-02-2022,20.6,46.2,960,28,12.3,100,100,100,100,100
26-02-2022,20.6,44.2,961,27.7,14.9,100,100,100,100,100
27-02-2022,20.6,46.8,962,27.6,15,100,100,100,100,100
28-02-2022,21.6,38.8,960,28,13.3,100,100,100,100,100
01-03-2022,21.5,34.8,959,27.6,12.2,100,100,100,100,100
02-03-2022,22.4,39,956,26.4,11.9,100,100,100,100,100
03-03-2022,22.1,52.2,959,26.1,14.6,100,100,100,100,100
04-03-2022,21.9,53.7,960,25.6,15.5,100,100,100,100,100
05-03-2022,21.9,43.6,959,22.8,12.6,100,100,100,100,100
06-03-2022,19,39.5,959,19,15,100,100,100,100,100
07-03-2022,19.5,39.9,959,26.6,11.9,100,100,100,100,100
08-03-2022,19.2,47,961,26,15.1,100,100,100,100,100
09-03-2022,19.3,47.4,960,25.8,11.9,100,100,100,100,100
10-03-2022,21,45.2,959,25.4,11.2,100,100,100,100,100
11-03-2022,21,41,956,25,12.5,100,100,100,100,100
12-03-2022,19.6,57.8,959,24.8,14.1,100,100,100,100,100
13-03-2022,21.4,50.8,959,24.7,12.7,100,100,100,100,100
14-03-2022,22,50.5,960,24.8,12.4,100,100,100,100,100
15-03-2022,21.1,57.6,959,23.4,13.1,100,100,100,100,100
16-03-2022,18.6,74.3,959,19.6,15.6,100,100,100,100,100
17-03-2022,17.5,71.4,961,14,12.7,100,100,100,100,100
18-03-2022,20.2,57.2,961,23.3,10.9,100,100,100,100,100
19-03-2022,22.2,38,958,15.6,9.6,100,100,100,100,100
20-03-2022,20.6,36.4,958,18.7,14.1,100,100,100,100,100
21-03-2022,16.4,47.6,960,23.7,11.1,100,100,100,100,100
22-03-2022,18.5,51,957,23.2,12.5,100,100,100,100,100
23-03-2022,15.1,61.8,962,23,15.9,100,100,100,100,100
24-03-2022,17.7,46.8,960,23.5,9.7,100,100,100,100,100
25-03-2022,19.8,36.3,956,22.9,10.8,100,100,100,100,100
26-03-2022,16.6,59.4,960,22.2,13.9,100,100,100,100,100
27-03-2022,17.9,55.4,960,18.2,8.5,100,100,100,100,100
28-03-2022,18.6,45.3,960,21.6,10.7,100,100,100,100,100
29-03-2022,17.7,48,963,22,13.2,100,100,100,100,100
30-03-2022,16.8,35.6,960,22.3,10,100,100,100,100,100
31-03-2022,17.9,28.4,960,22.2,8.7,100,100,100,100,100
01-04-2022,18.6,30.8,958,21.6,10.6,100,100,100,100,100
02-04-2022,17.5,42,959,20.4,12.6,100,100,100,100,100
03-04-2022,16.4,61.2,961,20.3,10.1,100,100,100,100,100
04-04-2022,18.7,47.6,959,20.4,9.2,100,100,100,100,100
05-04-2022,19.7,42,959,20.2,10.2,100,100,100,100,100
06-04-2022,19,43.2,960,20.4,10.1,100,100,100,100,100
07-04-2022,19.3,43.4,960,20,8.5,100,100,100,100,100
08-04-2022,19.4,45.8,958,19.5,10.1,100,100,100,100,100
09-04-2022,15.8,65.8,960,17.8,13.5,100,100,100,100,100
10-04-2022,14.4,61.8,961,19.2,11.6,100,100,100,100,100
11-04-2022,14.6,58.4,961,19.1,9,100,100,100,100,100
12-04-2022,16.2,45.4,961,14.7,12.5,100,100,100,100,100
13-04-2022,17.3,37.4,958,19.6,7.6,100,100,100,100,100
14-04-2022,15.5,56.6,958,18.6,11.1,100,100,100,100,100
15-04-2022,12.4,77.4,962,10.8,10.5,100,100,100,100,100
16-04-2022,13.9,64.6,961,16.8,8.9,100,100,100,100,100
17-04-2022,14.6,59.4,960,18.1,11.1,100,100,100,100,100
18-04-2022,14.2,58.9,960,15.9,9.1,96,96,96,96,96
19-04-2022,14.8,57.7,961,14.1,10.1,100,100,100,100,100
20-04-2022,14.8,59,965,16.9,7.5,100,100,100,100,100
21-04-2022,13.8,67.4,966,7.6,9.5,100,100,100,100,100
22-04-2022,16.6,60,963,12.6,9.9,100,100,100,100,100
23-04-2022,16,59,959,16.3,9.3,100,100,100,100,100
24-04-2022,14.3,64.1,959,16.2,10.2,100,100,100,100,100
25-04-2022,16.8,63.1,959,16.2,12.8,100,100,100,100,100
26-04-2022,15.1,67.6,959,8.5,12.9,100,100,100,100,100
27-04-2022,11.6,82.8,964,6.2,10.1,100,100,100,100,100
28-04-2022,12,74.6,963,14.3,6.3,100,100,100,100,100
29-04-2022,14.8,63.1,960,15.8,7.1,100,100,100,100,100
30-04-2022,14.4,60.4,961,15.9,7.5,100,100,100,100,100
01-05-2022,13.3,62.8,960,15.3,8.2,100,100,100,100,100
02-05-2022,13.8,59.8,963,15.5,7.2,100,100,100,100,100
03-05-2022,16.3,51,961,15.4,6.2,100,100,100,100,100
04-05-2022,16.6,55.5,959,14.6,9.8,100,100,100,100,100
05-05-2022,11.6,87,963,7.8,10.3,100,100,100,100,100
06-05-2022,15,64.1,962,13.1,7.2,100,100,100,100,100
07-05-2022,14,62,960,14.6,10.8,100,100,100,100,100
08-05-2022,10.8,83.8,966,2.1,7.1,96,96,96,96,96
09-05-2022,12.7,64.8,964,13.7,7.3,100,100,100,100,100
10-05-2022,14.8,60,961,14,8.3,100,100,100,100,100
11-05-2022,15.4,60.8,960,7,6.9,100,100,100,100,100
12-05-2022,13.9,65,960,5.9,7.7,100,100,100,100,100
13-05-2022,14,63.4,961,13.3,9.4,100,100,100,100,100
14-05-2022,12.6,65.3,960,7.1,5.8,100,100,100,100,100
15-05-2022,13.8,55.4,960,14.4,6.9,100,100,100,100,100
16-05-2022,11.6,62.1,963,13.6,8,100,100,100,100,100
17-05-2022,10.4,66.8,961,13.8,8.1,100,100,100,100,100
18-05-2022,10.2,67.8,961,12.8,10.7,100,100,100,100,100
19-05-2022,11.4,68.1,964,12.3,7.8,100,100,100,100,100
20-05-2022,14.4,67.6,966,10.6,7.2,100,100,100,100,100
21-05-2022,12.2,68.6,966,11.9,7.3,100,100,100,100,100
22-05-2022,12.2,65.3,966,5.2,7.8,100,100,100,100,100
23-05-2022,14.6,53.3,963,5.4,9.3,100,100,100,100,100
24-05-2022,14.2,63,963,7.2,5.6,100,100,100,100,100
25-05-2022,13.4,67.9,963,11.9,7.9,100,100,100,100,100
26-05-2022,9.6,81.7,962,8.6,8.9,100,100,100,100,100
27-05-2022,8,84,962,3.7,4.3,100,100,100,100,100
28-05-2022,8.7,77.2,961,2.7,6.5,100,100,100,100,100
29-05-2022,7.2,67.2,962,11.2,7.5,100,100,100,100,100
30-05-2022,6.8,58.9,962,12.1,6.1,100,100,100,100,100
31-05-2022,5.6,55.3,961,12,7.4,100,100,100,100,100
01-06-2022,5.1,62.9,963,11.6,7,100,100,100,100,100
02-06-2022,8.6,78.4,963,8,5.3,100,100,100,100,100
03-06-2022,10.4,72.9,960,0.8,9.1,100,100,100,100,100
04-06-2022,11.3,80,959,4.1,11.3,100,100,100,100,100
