date,cod_wc
2021-08-08,0.47
2021-08-09,0.6975
2021-08-10,0.78
2021-08-11,0.6425000000000001
2021-08-12,0.43500000000000005
2021-08-13,0.6775
2021-08-14,0.08750000000000002
2021-08-15,0.0675
2021-08-16,0.13749999999999996
2021-08-17,0.14749999999999996
2021-08-18,0.0625
2021-08-19,0.5325
2021-08-20,0.125
2021-08-21,0.525
2021-08-22,0.56
2021-08-23,0.49750000000000005
2021-08-24,0.8475
2021-08-25,0.7075
2021-08-26,0.7075
2021-08-27,0.0625
2021-08-28,0.5675
2021-08-29,0.49
2021-08-30,0.45499999999999996
2021-08-31,0.485
2021-09-01,0.5800000000000001
2021-09-02,0.3225
2021-09-03,0.38249999999999995
2021-09-04,0.775
2021-09-05,0.765
2021-09-06,0.5575
2021-09-07,0.5449999999999999
2021-09-08,0.7825
2021-09-09,1.0
2021-09-10,0.25249999999999995
2021-09-11,0.06499999999999995
2021-09-12,0.5549999999999999
2021-09-13,0.625
2021-09-14,0.855
2021-09-15,0.7825
2021-09-16,0.855
2021-09-17,0.8175
2021-09-18,0.6575
2021-09-19,0.5075000000000001
2021-09-20,0.95
2021-09-21,0.8825000000000001
2021-09-22,0.5525
2021-09-23,0.855
2021-09-24,0.615
2021-09-25,0.46499999999999997
2021-09-26,0.995
2021-09-27,0.9875
2021-09-28,1.0
2021-09-29,0.38
2021-09-30,0.9975
2021-10-01,0.8025
2021-10-02,0.9375
2021-10-03,1.0
2021-10-04,0.9375
2021-10-05,0.995
2021-10-06,1.0
2021-10-07,0.9325
2021-10-08,0.5825
2021-10-09,0.9575
2021-10-10,0.65
2021-10-11,0.6375
2021-10-12,0.51
2021-10-13,0.525
2021-10-14,0.5625
2021-10-15,0.995
2021-10-16,0.9975
2021-10-17,1.0
2021-10-18,1.0
2021-10-19,0.5725
2021-10-20,0.48750000000000004
2021-10-21,0.37250000000000005
2021-10-22,0.6225
2021-10-23,1.0
2021-10-24,1.0
2021-10-25,1.0
2021-10-26,0.775
