,temp,clouds,pressure,wind,humidity
1476302400,19.68,100,1018,3.6,46
1476309600,18.68,100,1019,5.14,45
1476352800,12.41,20,1018,1.54,87
1476360000,12.68,75,1016,1.54,82
1476367200,18.68,0,1018,1.03,56
1476374400,22.68,0,1017,4.63,35
1476381600,24.68,40,1016,4.12,27
1476388800,24.68,0,1015,3.6,25
1476396000,22.68,75,1016,6.7,33
1476439200,13.86,75,1015,1.54,76
1476446400,14.68,100,1016,1.54,82
1476453600,16.68,75,1015,2.57,63
1476460800,19.68,75,1015,1.54,52
1476468000,20.68,75,1017,3.6,46
1476475200,20.68,100,1016,3.6,43
1476482400,23.68,40,1014,3.1,29
1476525600,12.73,75,1012,1.03,82
1476532800,13.68,75,1013,1.54,94
1476540000,16.68,75,1012,2.57,68
1476547200,15.68,75,1013,5.7,72
1476554400,16.68,75,1013,4.63,68
1476561600,12.68,100,1014,4.12,100
1476568800,13.68,100,1013,2.57,88
1476612000,10.43,75,1015,1.03,87
1476619200,10.68,75,1017,1.54,87
1476626400,11.68,75,1018,1.54,87
1476633600,13.68,75,1019,5.14,67
1476640800,12.68,100,1019,4.63,82
1476648000,12.68,75,1019,5.14,76
1476655200,11.68,75,1019,6.7,76
1476698400,9.33,100,1015,2.6,87
1476705600,9.68,100,1017,2.6,93
1476712800,9.64,100,1017,3.1,93
1476720000,11.68,75,1018,3.1,76
1476727200,12.68,100,1017,3.1,67
1476734400,13.68,100,1017,4.63,62
1476741600,11.68,100,1017,5.7,76
1476784800,5.58,100,1019,3.6,93
1476792000,6.68,100,1021,2.1,87
1476799200,7.68,75,1022,1.54,87
1476806400,9.68,75,1023,2.6,76
1476813600,13.68,75,1022,1.54,44
1476820800,12.68,75,1022,3.6,40
1476828000,14.68,40,1022,6.2,44
1476871200,6.1,20,1021,0.0,93
1476878400,6.68,20,1022,1.03,87
1476885600,11.68,20,1022,1.54,54
1476892800,15.68,20,1021,3.6,39
1476900000,17.68,40,1020,3.09,32
1476907200,18.68,40,1019,4.63,28
1476914400,17.68,40,1019,5.14,27
1476957600,8.74,0,1019,1.03,87
1476964800,9.68,0,1020,1.03,76
1476972000,14.68,0,1019,2.06,47
1476979200,18.68,0,1019,3.1,32
1476986400,19.96,0,1018,2.06,23
1476993600,23.68,0,1017,3.1,19
1477000800,22.68,0,1016,5.14,19
1477044000,7.95,0,1012,1.54,71
1477051200,11.68,0,1013,2.1,62
1477058400,19.68,0,1013,1.54,34
1477065600,24.68,0,1012,2.57,20
1477072800,28.68,0,1011,5.14,14
1477080000,27.68,0,1011,8.23,18
1477087200,24.68,0,1011,6.7,27
1477130400,12.91,0,1014,4.12,87
1477137600,10.68,0,1016,2.6,82
1477144800,15.68,0,1016,2.1,59
1477152000,18.68,0,1016,5.7,42
1477159200,20.68,0,1015,8.23,40
1477166400,17.68,0,1016,7.72,48
1477173600,15.68,75,1016,5.14,67
1477216800,10.32,75,1017,1.03,76
1477224000,10.68,75,1019,3.1,100
1477231200,15.68,75,1020,4.12,63
1477238400,18.68,75,1019,3.1,39
1477245600,18.68,75,1019,4.12,39
1477252800,18.68,75,1019,5.7,34
1477260000,15.68,75,1020,8.8,55
1477303200,10.89,75,1021,2.6,82
1477310400,11.68,75,1023,2.1,82
1477317600,15.68,75,1023,2.1,63
1477324800,17.68,40,1023,1.54,42
1477332000,19.68,40,1022,4.63,32
1477339200,21.68,40,1021,6.7,28
1477346400,19.68,75,1022,7.72,32
1477389600,8.58,20,1023,1.54,81
1477396800,11.68,0,1023,3.1,87
1477404000,15.68,0,1022,1.54,59
1477411200,19.68,20,1021,3.6,40
1477418400,23.68,20,1019,3.6,22
1477425600,24.68,40,1018,4.63,15
1477432800,23.68,0,1018,6.2,15
1477476000,9.96,0,1018,1.03,81
1477483200,15.68,0,1019,1.54,55
1477490400,21.68,0,1018,1.54,30
1477497600,26.68,0,1016,2.6,23
1477504800,29.4,0,1013,3.1,18
1477512000,29.68,0,1013,5.14,19
1477519200,28.68,0,1013,4.63,23
1477562400,10.59,0,1011,1.03,76
1477569600,18.68,0,1012,2.1,56
1477576800,26.68,0,1013,1.54,32
1477584000,29.68,0,1012,2.6,25
1477591200,30.68,0,1012,8.23,25
1477598400,29.68,0,1011,8.8,29
1477605600,27.68,0,1012,6.2,34
1477648800,14.86,100,1014,4.12,94
1477656000,14.68,100,1015,2.57,94
1477663200,17.68,75,1016,4.63,72
1477670400,20.68,0,1016,6.2,60
1477677600,20.68,0,1016,8.23,56
1477684800,20.68,0,1016,8.23,56
1477692000,17.68,40,1016,7.72,72
1477735200,15.61,100,1015,2.1,82
1477742400,16.68,75,1017,2.06,88
1477749600,19.68,100,1017,2.06,68
1477756800,22.68,0,1017,4.12,53
1477764000,22.68,20,1017,7.72,50
1477771200,25.68,20,1016,6.7,34
1477778400,23.68,20,1015,6.2,47
1477821600,15.1,0,1015,3.1,88
1477828800,15.68,75,1017,2.1,94
1477836000,18.68,75,1017,3.1,68
1477843200,20.68,75,1017,5.7,56
1477850400,22.68,75,1017,6.7,46
1477857600,22.68,75,1016,6.7,38
1477864800,23.68,40,1016,6.7,31
1477908000,12.34,75,1016,1.54,82
1477915200,13.68,75,1016,1.54,88
1477922400,16.64,75,1016,2.1,72
1477929600,18.68,75,1016,2.6,56
1477936800,18.64,75,1016,4.12,45
1477944000,17.68,75,1015,6.2,45
1477951200,15.68,75,1017,6.7,48
1477994400,7.08,40,1022,3.6,70
1478001600,10.68,0,1022,3.6,71
1478008800,13.68,0,1022,2.57,54
1478016000,16.68,0,1022,4.12,39
1478023200,18.68,20,1022,6.2,28
1478030400,20.68,20,1021,6.2,23
