date,clouds,weather_condition
2021-01-01 18:00:00,66,Clouds
2021-01-02 18:00:00,56,Clouds
2021-01-03 18:00:00,2,Clear
2021-01-04 18:00:00,2,Clear
2021-01-05 18:00:00,37,Clouds
2021-01-06 18:00:00,39,Clouds
2021-01-07 18:00:00,3,Clear
2021-01-08 18:00:00,99,Clouds
2021-01-09 18:00:00,17,Clouds
2021-01-10 18:00:00,0,Clear
2021-01-11 18:00:00,2,Clear
2021-01-12 18:00:00,0,Clear
2021-01-13 18:00:00,0,Clear
2021-01-14 18:00:00,1,Clear
2021-01-15 18:00:00,0,Clear
2021-01-16 18:00:00,0,Clear
2021-01-17 18:00:00,0,Clear
2021-01-18 18:00:00,41,Clouds
2021-01-19 18:00:00,83,Clouds
2021-01-20 18:00:00,25,Clouds
2021-01-21 18:00:00,91,Clouds
2021-01-22 18:00:00,87,Clouds
2021-01-23 18:00:00,81,Clouds
2021-01-24 18:00:00,87,Clouds
2021-01-25 18:00:00,1,Clear
2021-01-26 18:00:00,3,Clear
2021-01-27 18:00:00,1,Clear
2021-01-28 18:00:00,88,Clouds
2021-01-29 18:00:00,100,Rain
2021-01-30 18:00:00,87,Rain
2021-01-31 18:00:00,22,Clouds
2021-02-01 18:00:00,46,Clouds
2021-02-02 18:00:00,30,Clouds
2021-02-03 18:00:00,1,Clear
2021-02-04 18:00:00,84,Clouds
2021-02-05 18:00:00,21,Clouds
2021-02-06 18:00:00,5,Clear
2021-02-07 18:00:00,3,Clear
2021-02-08 18:00:00,0,Clear
2021-02-09 18:00:00,76,Clouds
2021-02-10 18:00:00,70,Clouds
2021-02-11 18:00:00,49,Clouds
2021-02-12 18:00:00,34,Clouds
2021-02-13 18:00:00,19,Clouds
2021-02-14 18:00:00,42,Clouds
2021-02-15 18:00:00,10,Clear
2021-02-16 18:00:00,32,Clouds
2021-02-17 18:00:00,5,Clear
2021-02-18 18:00:00,0,Clear
2021-02-19 18:00:00,1,Clear
2021-02-20 18:00:00,0,Clear
2021-02-21 18:00:00,1,Clear
2021-02-22 18:00:00,0,Clear
2021-02-23 18:00:00,3,Clear
2021-02-24 18:00:00,61,Clouds
2021-02-25 18:00:00,30,Clouds
2021-02-26 18:00:00,14,Clouds
2021-02-27 18:00:00,1,Clear
2021-02-28 18:00:00,1,Clear
2021-03-01 18:00:00,99,Clouds
2021-03-02 18:00:00,2,Clear
2021-03-03 18:00:00,36,Clouds
2021-03-04 18:00:00,1,Clear
2021-03-05 18:00:00,26,Clouds
2021-03-06 18:00:00,3,Clear
2021-03-07 18:00:00,7,Clear
2021-03-08 18:00:00,1,Clear
2021-03-09 18:00:00,35,Clouds
2021-03-10 18:00:00,93,Clouds
2021-03-11 18:00:00,89,Clouds
2021-03-12 18:00:00,15,Clouds
2021-03-13 18:00:00,11,Clouds
2021-03-14 18:00:00,13,Clouds
2021-03-15 18:00:00,88,Clouds
2021-03-16 18:00:00,44,Clouds
2021-03-17 18:00:00,1,Clear
2021-03-18 18:00:00,19,Clouds
2021-03-19 18:00:00,7,Clear
2021-03-20 18:00:00,37,Clouds
2021-03-21 18:00:00,32,Clouds
2021-03-22 18:00:00,3,Clear
2021-03-23 18:00:00,2,Clear
2021-03-24 18:00:00,18,Clouds
2021-03-25 18:00:00,0,Clear
2021-03-26 18:00:00,0,Clear
2021-03-27 18:00:00,8,Clear
2021-03-28 18:00:00,64,Clouds
2021-03-29 18:00:00,18,Clouds
2021-03-30 18:00:00,0,Clear
2021-03-31 18:00:00,98,Clouds
2021-04-01 18:00:00,13,Clouds
2021-04-02 18:00:00,8,Clear
2021-04-03 18:00:00,30,Clouds
2021-04-04 18:00:00,1,Clear
2021-04-05 18:00:00,1,Clear
2021-04-06 18:00:00,4,Clear
2021-04-07 18:00:00,6,Clear
2021-04-08 18:00:00,0,Clear
2021-04-09 18:00:00,6,Clear
2021-04-10 18:00:00,3,Clear
2021-04-11 18:00:00,0,Clear
2021-04-12 18:00:00,0,Clear
2021-04-13 18:00:00,64,Clouds
2021-04-14 18:00:00,39,Clouds
2021-04-15 18:00:00,12,Clouds
2021-04-16 18:00:00,99,Clouds
2021-04-17 18:00:00,37,Clouds
2021-04-18 18:00:00,0,Clear
2021-04-19 18:00:00,2,Clear
2021-04-20 18:00:00,100,Rain
2021-04-21 18:00:00,52,Clouds
2021-04-22 18:00:00,97,Clouds
2021-04-23 18:00:00,3,Clear
2021-04-24 18:00:00,0,Clear
2021-04-25 18:00:00,1,Clear
2021-04-26 18:00:00,9,Clear
2021-04-27 18:00:00,33,Clouds
2021-04-28 18:00:00,2,Clear
2021-04-29 18:00:00,81,Clouds
2021-04-30 18:00:00,7,Clear
2021-05-01 18:00:00,99,Clouds
2021-05-02 18:00:00,83,Clouds
2021-05-03 18:00:00,46,Clouds
2021-05-04 18:00:00,57,Clouds
2021-05-05 18:00:00,0,Clear
2021-05-06 18:00:00,50,Clouds
2021-05-07 18:00:00,96,Clouds
2021-05-08 18:00:00,49,Clouds
2021-05-09 18:00:00,0,Clear
2021-05-10 18:00:00,0,Clear
2021-05-11 18:00:00,0,Clear
2021-05-12 18:00:00,58,Clouds
2021-05-13 18:00:00,96,Clouds
2021-05-14 18:00:00,92,Clouds
2021-05-15 18:00:00,34,Clouds
2021-05-16 18:00:00,98,Clouds
2021-05-17 18:00:00,97,Clouds
2021-05-18 18:00:00,43,Clouds
2021-05-19 18:00:00,98,Rain
2021-05-20 18:00:00,53,Clouds
2021-05-21 18:00:00,61,Clouds
2021-05-22 18:00:00,0,Clear
2021-05-23 18:00:00,66,Clouds
2021-05-24 18:00:00,0,Clear
2021-05-25 18:00:00,84,Clouds
2021-05-26 18:00:00,0,Clear
2021-05-27 18:00:00,99,Clouds
2021-05-28 18:00:00,16,Clouds
2021-05-29 18:00:00,42,Clouds
2021-05-30 18:00:00,96,Clouds
2021-05-31 18:00:00,44,Clouds
2021-06-01 18:00:00,90,Clouds
2021-06-02 18:00:00,25,Clouds
2021-06-03 18:00:00,99,Clouds
2021-06-04 18:00:00,98,Clouds
2021-06-05 18:00:00,100,Clouds
2021-06-06 18:00:00,100,Clouds
2021-06-07 18:00:00,17,Clouds
2021-06-08 18:00:00,83,Clouds
2021-06-09 18:00:00,42,Clouds
2021-06-10 18:00:00,0,Clear
2021-06-11 18:00:00,82,Clouds
2021-06-12 18:00:00,98,Clouds
2021-06-13 18:00:00,90,Clouds
2021-06-14 18:00:00,39,Clouds
2021-06-15 18:00:00,97,Rain
2021-06-16 18:00:00,5,Clear
2021-06-17 18:00:00,24,Clouds
2021-06-18 18:00:00,33,Clouds
2021-06-19 18:00:00,78,Clouds
2021-06-20 18:00:00,21,Clouds
2021-06-21 18:00:00,91,Clouds
2021-06-22 18:00:00,100,Clouds
2021-06-23 18:00:00,96,Rain
2021-06-24 18:00:00,56,Clouds
2021-06-25 18:00:00,20,Clouds
2021-06-26 18:00:00,0,Clear
2021-06-27 18:00:00,0,Clear
2021-06-28 18:00:00,0,Clear
2021-06-29 18:00:00,98,Clouds
2021-06-30 18:00:00,92,Clouds
2021-07-01 18:00:00,5,Clear
2021-07-02 18:00:00,0,Clear
2021-07-03 18:00:00,50,Clouds
2021-07-04 18:00:00,2,Clear
2021-07-05 18:00:00,18,Clouds
2021-07-06 18:00:00,13,Clouds
2021-07-07 18:00:00,6,Clear
2021-07-08 18:00:00,18,Clouds
2021-07-09 18:00:00,83,Clouds
2021-07-10 18:00:00,0,Clear
2021-07-11 18:00:00,92,Clouds
2021-07-12 18:00:00,37,Clouds
2021-07-13 18:00:00,10,Clear
2021-07-14 18:00:00,0,Clear
2021-07-15 18:00:00,0,Clear
2021-07-16 18:00:00,0,Clear
2021-07-17 18:00:00,0,Clear
2021-07-18 18:00:00,0,Clear
2021-07-19 18:00:00,0,Clear
2021-07-20 18:00:00,15,Clouds
2021-07-21 18:00:00,92,Clouds
2021-07-22 18:00:00,98,Clouds
2021-07-23 18:00:00,49,Clouds
2021-07-24 18:00:00,54,Clouds
2021-07-25 18:00:00,89,Rain
2021-07-26 18:00:00,0,Clear
2021-07-27 18:00:00,0,Clear
2021-07-28 18:00:00,0,Clear
2021-07-29 18:00:00,0,Clear
2021-07-30 18:00:00,27,Clouds
2021-07-31 18:00:00,19,Clouds
2021-08-01 18:00:00,0,Clear
2021-08-02 18:00:00,2,Clear
2021-08-03 18:00:00,4,Clear
2021-08-04 18:00:00,85,Clouds
2021-08-05 18:00:00,94,Clouds
2021-08-06 18:00:00,23,Clouds
2021-08-07 18:00:00,70,Clouds
2021-08-08 18:00:00,30,Clouds
2021-08-09 18:00:00,3,Clear
2021-08-10 18:00:00,0,Clear
2021-08-11 18:00:00,55,Clouds
2021-08-12 18:00:00,9,Clear
2021-08-13 18:00:00,0,Clear
2021-08-14 18:00:00,96,Clouds
2021-08-15 18:00:00,99,Clouds
2021-08-16 18:00:00,96,Rain
2021-08-17 18:00:00,100,Clouds
2021-08-18 18:00:00,100,Rain
2021-08-19 18:00:00,25,Rain
2021-08-20 18:00:00,100,Clouds
2021-08-21 18:00:00,26,Clouds
2021-08-22 18:00:00,36,Clouds
2021-08-23 18:00:00,29,Clouds
2021-08-24 18:00:00,0,Clear
2021-08-25 18:00:00,1,Clear
2021-08-26 18:00:00,1,Clear
2021-08-27 18:00:00,100,Clouds
2021-08-28 18:00:00,1,Clear
2021-08-29 18:00:00,84,Clouds
2021-08-30 18:00:00,7,Clear
2021-08-31 18:00:00,1,Clear
2021-09-01 18:00:00,5,Clear
2021-09-02 18:00:00,66,Clouds
2021-09-03 18:00:00,14,Clouds
2021-09-04 18:00:00,0,Clear
2021-09-05 18:00:00,5,Clear
2021-09-06 18:00:00,10,Clear
2021-09-07 18:00:00,30,Clouds
2021-09-08 18:00:00,0,Clear
2021-09-09 18:00:00,0,Clear
2021-09-10 18:00:00,96,Clouds
2021-09-11 18:00:00,99,Rain
2021-09-12 18:00:00,12,Clouds
2021-09-13 18:00:00,0,Clear
2021-09-14 18:00:00,0,Clear
2021-09-15 18:00:00,0,Clear
2021-09-16 18:00:00,0,Clear
2021-09-17 18:00:00,6,Clear
2021-09-18 18:00:00,0,Clear
2021-09-19 18:00:00,6,Clear
2021-09-20 18:00:00,0,Clear
2021-09-21 18:00:00,12,Clouds
2021-09-22 18:00:00,1,Clear
2021-09-23 18:00:00,0,Clear
2021-09-24 18:00:00,92,Clouds
2021-09-25 18:00:00,31,Clouds
2021-09-26 18:00:00,2,Clear
2021-09-27 18:00:00,0,Clear
2021-09-28 18:00:00,0,Clear
2021-09-29 18:00:00,93,Clouds
2021-09-30 18:00:00,1,Clear
2021-10-01 18:00:00,1,Clear
2021-10-02 18:00:00,1,Clear
2021-10-03 18:00:00,0,Clear
2021-10-04 18:00:00,0,Clear
2021-10-05 18:00:00,1,Clear
2021-10-06 18:00:00,0,Clear
2021-10-07 18:00:00,27,Clouds
2021-10-08 18:00:00,5,Clear
2021-10-09 18:00:00,15,Clouds
2021-10-10 18:00:00,0,Clear
2021-10-11 18:00:00,70,Clouds
2021-10-12 18:00:00,7,Clear
2021-10-13 18:00:00,97,Clouds
2021-10-14 18:00:00,0,Clear
2021-10-15 18:00:00,0,Clear
2021-10-16 18:00:00,1,Clear
2021-10-17 18:00:00,0,Clear
2021-10-18 18:00:00,0,Clear
2021-10-19 18:00:00,100,Clouds
2021-10-20 18:00:00,7,Clear
2021-10-21 18:00:00,62,Clouds
2021-10-22 18:00:00,1,Clear
2021-10-23 18:00:00,0,Clear
2021-10-24 18:00:00,0,Clear
2021-10-25 18:00:00,0,Clear
2021-10-26 18:00:00,72,Clouds
2021-10-27 18:00:00,77,Clouds
2021-10-28 18:00:00,0,Clear
2021-10-29 18:00:00,0,Clear
2021-10-30 18:00:00,84,Clouds
2021-10-31 18:00:00,96,Clouds
2021-11-01 18:00:00,90,Clouds
2021-11-02 18:00:00,39,Clouds
2021-11-03 18:00:00,39,Clouds
2021-11-04 18:00:00,1,Clear
2021-11-05 18:00:00,52,Clouds
2021-11-06 18:00:00,29,Clouds
2021-11-07 18:00:00,7,Clear
2021-11-08 18:00:00,10,Clear
2021-11-09 18:00:00,63,Clouds
2021-11-10 18:00:00,74,Clouds
2021-11-11 18:00:00,23,Clouds
2021-11-12 18:00:00,17,Clouds
2021-11-13 18:00:00,1,Clear
2021-11-14 18:00:00,0,Clear
2021-11-15 18:00:00,0,Clear
2021-11-16 18:00:00,0,Clear
2021-11-17 18:00:00,35,Clouds
2021-11-18 18:00:00,25,Clouds
2021-11-19 18:00:00,93,Clouds
2021-11-20 18:00:00,80,Clouds
2021-11-21 18:00:00,93,Clouds
2021-11-22 18:00:00,0,Clear
2021-11-23 18:00:00,99,Clouds
2021-11-24 18:00:00,99,Clouds
2021-11-25 18:00:00,17,Clouds
2021-11-26 18:00:00,62,Clouds
2021-11-27 18:00:00,3,Clear
2021-11-28 18:00:00,0,Clear
2021-11-29 18:00:00,37,Clouds
2021-11-30 18:00:00,43,Clouds
2021-12-01 18:00:00,6,Clear
2021-12-02 18:00:00,16,Clouds
2021-12-03 18:00:00,5,Clear
2021-12-04 18:00:00,3,Clear
2021-12-05 18:00:00,83,Clouds
2021-12-06 18:00:00,43,Clouds
2021-12-07 18:00:00,4,Clear
2021-12-08 18:00:00,75,Clouds
2021-12-09 18:00:00,35,Clouds
2021-12-10 18:00:00,15,Clouds
2021-12-11 18:00:00,51,Clouds
2021-12-12 18:00:00,1,Clear
2021-12-13 18:00:00,11,Clouds
2021-12-14 18:00:00,0,Clear
2021-12-15 18:00:00,16,Clouds
2021-12-16 18:00:00,63,Clouds
2021-12-17 18:00:00,0,Clear
2021-12-18 18:00:00,32,Clouds
2021-12-19 18:00:00,85,Clouds
2021-12-20 18:00:00,94,Clouds
2021-12-21 18:00:00,56,Clouds
2021-12-22 18:00:00,39,Clouds
2021-12-23 18:00:00,17,Clouds
2021-12-24 18:00:00,5,Clear
2021-12-25 18:00:00,31,Clouds
2021-12-26 18:00:00,58,Clouds
2021-12-27 18:00:00,75,Clouds
2021-12-28 18:00:00,93,Clouds
2021-12-29 18:00:00,28,Clouds
2021-12-30 18:00:00,1,Clear
2021-12-31 18:00:00,1,Clear
2022-01-01 18:00:00,0,Clear
2022-01-02 18:00:00,2,Clear
2022-01-03 18:00:00,2,Clear
2022-01-04 18:00:00,3,Clear
2022-01-05 18:00:00,68,Clouds
2022-01-06 18:00:00,49,Clouds
2022-01-07 18:00:00,95,Clouds
2022-01-08 18:00:00,70,Clouds
2022-01-09 18:00:00,96,Clouds
2022-01-10 18:00:00,86,Clouds
2022-01-11 18:00:00,64,Clouds
2022-01-12 18:00:00,84,Clouds
2022-01-13 18:00:00,3,Clear
2022-01-14 18:00:00,4,Clear
2022-01-15 18:00:00,70,Clouds
2022-01-16 18:00:00,4,Clear
2022-01-17 18:00:00,0,Clear
2022-01-18 18:00:00,0,Clear
2022-01-19 18:00:00,0,Clear
2022-01-20 18:00:00,0,Clear
2022-01-21 18:00:00,1,Clear
2022-01-22 18:00:00,0,Clear
2022-01-23 18:00:00,0,Clear
2022-01-24 18:00:00,0,Clear
2022-01-25 18:00:00,86,Clouds
2022-01-26 18:00:00,25,Clouds
2022-01-27 18:00:00,48,Clouds
2022-01-28 18:00:00,2,Clear
2022-01-29 18:00:00,4,Clear
2022-01-30 18:00:00,1,Clear
2022-01-31 18:00:00,0,Clear
2022-02-01 18:00:00,67,Clouds
2022-02-02 18:00:00,0,Clear
2022-02-03 18:00:00,91,Clouds
2022-02-04 18:00:00,51,Clouds
2022-02-05 18:00:00,3,Clear
2022-02-06 18:00:00,45,Clouds
2022-02-07 18:00:00,42,Clouds
2022-02-08 18:00:00,16,Clouds
2022-02-09 18:00:00,78,Clouds
2022-02-10 18:00:00,82,Clouds
2022-02-11 18:00:00,16,Clouds
2022-02-12 18:00:00,10,Clear
2022-02-13 18:00:00,86,Clouds
2022-02-14 18:00:00,8,Clear
2022-02-15 18:00:00,15,Clouds
2022-02-16 18:00:00,11,Clouds
2022-02-17 18:00:00,9,Clear
2022-02-18 18:00:00,7,Clear
2022-02-19 18:00:00,2,Clear
2022-02-20 18:00:00,2,Clear
2022-02-21 18:00:00,6,Clear
2022-02-22 18:00:00,17,Clouds
2022-02-23 18:00:00,45,Clouds
2022-02-24 18:00:00,0,Clear
2022-02-25 18:00:00,0,Clear
2022-02-26 18:00:00,3,Clear
2022-02-27 18:00:00,0,Clear
2022-02-28 18:00:00,0,Clear
2022-03-01 18:00:00,0,Clear
2022-03-02 18:00:00,100,Clouds
2022-03-03 18:00:00,100,Clouds
2022-03-04 18:00:00,12,Clouds
2022-03-05 18:00:00,3,Clear
2022-03-06 18:00:00,0,Clear
2022-03-07 18:00:00,3,Clear
2022-03-08 18:00:00,2,Clear
2022-03-09 18:00:00,0,Clear
2022-03-10 18:00:00,0,Clear
2022-03-11 18:00:00,99,Clouds
2022-03-12 18:00:00,53,Clouds
2022-03-13 18:00:00,81,Clouds
2022-03-14 18:00:00,83,Clouds
2022-03-15 18:00:00,35,Clouds
2022-03-16 18:00:00,8,Clear
2022-03-17 18:00:00,1,Clear
2022-03-18 18:00:00,80,Clouds
2022-03-19 18:00:00,55,Clouds
2022-03-20 18:00:00,1,Clear
2022-03-21 18:00:00,9,Clear
2022-03-22 18:00:00,0,Clear
2022-03-23 18:00:00,2,Clear
2022-03-24 18:00:00,0,Clear
2022-03-25 18:00:00,1,Clear
2022-03-26 18:00:00,24,Clouds
2022-03-27 18:00:00,71,Clouds
2022-03-28 18:00:00,0,Clear
2022-03-29 18:00:00,0,Clear
2022-03-30 18:00:00,0,Clear
2022-03-31 18:00:00,0,Clear
2022-04-01 18:00:00,2,Clear
2022-04-02 18:00:00,26,Clouds
2022-04-03 18:00:00,1,Clear
2022-04-04 18:00:00,0,Clear
2022-04-05 18:00:00,1,Clear
2022-04-06 18:00:00,33,Clouds
2022-04-07 18:00:00,64,Clouds
2022-04-08 18:00:00,100,Clouds
2022-04-09 18:00:00,3,Clear
2022-04-10 18:00:00,2,Clear
2022-04-11 18:00:00,0,Clear
2022-04-12 18:00:00,37,Clouds
2022-04-13 18:00:00,0,Clear
2022-04-14 18:00:00,40,Clouds
2022-04-15 18:00:00,1,Clear
2022-04-16 18:00:00,82,Clouds
2022-04-17 18:00:00,22,Clouds
2022-04-18 18:00:00,24,Clouds
2022-04-19 18:00:00,80,Clouds
2022-04-20 18:00:00,2,Clear
2022-04-21 18:00:00,99,Clouds
2022-04-22 18:00:00,44,Clouds
2022-04-23 18:00:00,5,Clear
2022-04-24 18:00:00,43,Clouds
2022-04-25 18:00:00,85,Rain
2022-04-26 18:00:00,87,Rain
2022-04-27 18:00:00,0,Clear
2022-04-28 18:00:00,1,Clear
2022-04-29 18:00:00,0,Clear
2022-04-30 18:00:00,0,Clear
2022-05-01 18:00:00,7,Clear
2022-05-02 18:00:00,0,Clear
2022-05-03 18:00:00,33,Clouds
2022-05-04 18:00:00,96,Clouds
2022-05-05 18:00:00,1,Clear
2022-05-06 18:00:00,1,Clear
2022-05-07 18:00:00,97,Clouds
2022-05-08 18:00:00,96,Clouds
2022-05-09 18:00:00,26,Clouds
2022-05-10 18:00:00,88,Clouds
2022-05-11 18:00:00,100,Clouds
2022-05-12 18:00:00,91,Clouds
2022-05-13 18:00:00,1,Clear
2022-05-14 18:00:00,1,Clear
2022-05-15 18:00:00,46,Clouds
