date,tmean,tmin,tmax,hum,radsol,tmean_percent ,tmin_percent ,tmax_percent ,hum_percent ,radsol_percent  
29-03-2021,15.4,9.1,21.7,73.6,20.4,100,100,100,100,100
30-03-2021,16.3,9.2,23.4,68.1,20.8,100,100,100,100,100
31-03-2021,16.4,8.6,24.3,68,20.9,100,100,100,100,100
01-04-2021,16,10.4,21.7,75,16.3,100,100,100,100,100
02-04-2021,15.4,6.6,24.1,69.3,17.8,100,100,100,100,100
03-04-2021,19,8.5,29.6,57.6,20.9,100,100,100,100,100
04-04-2021,14.8,10.8,18.9,71.8,13.1,100,100,100,100,100
05-04-2021,17.6,11.5,23.8,66.2,15.4,100,100,100,100,100
06-04-2021,16.9,8.8,25,67.2,19.4,100,100,100,100,100
07-04-2021,17.4,9.7,25,62.6,19.4,100,100,100,100,100
08-04-2021,17.8,13.4,22.3,59.2,19.1,100,100,100,100,100
09-04-2021,15.4,8.6,22.2,57.4,19.2,100,100,100,100,100
10-04-2021,15.3,9.9,20.7,56.3,19.4,100,100,100,100,100
11-04-2021,17.4,6.5,28.3,48.2,20.2,100,100,100,100,100
12-04-2021,18.2,7.2,29.3,39.9,19.9,100,100,100,100,100
13-04-2021,19.6,8.3,30.9,41.2,19.4,100,100,100,100,100
14-04-2021,17.8,9.3,26.4,58.6,18.2,100,100,100,100,100
15-04-2021,17.4,8.6,26.3,61.5,18.4,100,100,100,100,100
16-04-2021,18,9.2,26.7,54.4,18.2,100,100,100,100,100
17-04-2021,14.9,9.9,19.9,77.4,15.8,100,100,100,100,100
18-04-2021,17.3,11,23.6,68.7,14.1,100,100,100,100,100
19-04-2021,13.8,7.8,19.9,74.4,17.4,100,100,100,100,100
20-04-2021,14.8,9.6,20.1,68.1,13.1,100,100,100,100,100
21-04-2021,17.6,12.3,22.8,53.9,17.5,100,100,100,100,100
22-04-2021,14,6.6,21.3,72.2,16,100,100,100,100,100
23-04-2021,12.9,11.5,14.3,81,2.6,100,100,100,100,100
24-04-2021,14.4,5.9,22.8,64,17,100,100,100,100,100
25-04-2021,15,5.1,24.9,55.4,17,100,100,100,100,100
26-04-2021,15.4,5.9,25,55.8,16.8,100,100,100,100,100
27-04-2021,13.8,6.3,21.2,70.4,15.5,100,100,100,100,100
28-04-2021,15.2,5.7,24.8,60,16.1,100,100,100,100,100
29-04-2021,14.2,5.9,22.5,64.1,15.4,100,100,100,100,100
30-04-2021,12.4,9.1,15.7,82.2,5.3,100,100,100,100,100
01-05-2021,12.1,6.1,18.2,73.8,9.8,100,100,100,100,100
02-05-2021,14.8,9.7,20,62.1,9.5,100,100,100,100,100
03-05-2021,13.2,7.2,19.1,67.4,12.6,100,100,100,100,100
04-05-2021,12.1,5.9,18.3,73.3,9.3,100,100,100,100,100
05-05-2021,13.4,5.5,21.3,65.4,14.7,100,100,100,100,100
06-05-2021,15.1,4.6,25.6,53.8,15.2,100,100,100,100,100
07-05-2021,14.7,10.6,18.8,62.1,12.5,100,100,100,100,100
08-05-2021,12.4,8.4,16.5,71.2,7.8,100,100,100,100,100
09-05-2021,13.6,7.5,19.7,65.3,13.8,100,100,100,100,100
10-05-2021,13.6,4.8,22.4,57.4,14.4,100,100,100,100,100
11-05-2021,13.8,3.5,24.1,51.1,14.5,100,100,100,100,100
12-05-2021,14.2,3.3,25.1,40.7,14.4,100,100,100,100,100
13-05-2021,12.2,5.8,18.5,54.7,4.7,100,100,100,100,100
14-05-2021,15,7.2,22.7,54.7,15.2,63,63,63,63,63
15-05-2021,13.8,9.1,18.6,62.7,5.1,100,100,100,100,100
16-05-2021,13.2,4.5,22,61.2,9.8,100,100,100,100,100
17-05-2021,16.6,6.2,26.9,56.2,13,100,100,100,100,100
18-05-2021,10.6,8.2,13.1,85.6,2.5,100,100,100,100,100
19-05-2021,12.2,8.1,16.3,72.1,6.8,100,100,100,100,100
20-05-2021,10.3,6.2,14.4,78.7,5.7,100,100,100,100,100
21-05-2021,10.2,6.4,14,76.9,13,100,100,100,100,100
22-05-2021,8.4,0.9,15.9,70.6,13,100,100,100,100,100
23-05-2021,9.6,-0.4,19.6,60.6,13.5,100,100,100,100,100
24-05-2021,12.6,4.5,20.6,56.4,12.9,100,100,100,100,100
25-05-2021,12.8,3.2,22.4,56.4,13,100,100,100,100,100
26-05-2021,13.2,3,23.4,54.4,12.5,100,100,100,100,100
27-05-2021,11.8,2.4,21.2,56.6,12.3,100,100,100,100,100
28-05-2021,13,6.7,19.2,72,11.8,100,100,100,100,100
29-05-2021,10.8,6.2,15.4,82.8,4.3,100,100,100,100,100
30-05-2021,11.2,2.6,19.8,66.4,11.4,100,100,100,100,100
31-05-2021,15.8,8.9,22.7,50.6,11.5,100,100,100,100,100
01-06-2021,15.6,12,19.2,59.4,4.4,100,100,100,100,100
02-06-2021,16.2,9.3,23.1,64,11.2,100,100,100,100,100
03-06-2021,15.6,7.8,23.5,62.8,11.2,100,100,100,100,100
04-06-2021,12.6,8.9,16.2,80.8,6.2,100,100,100,100,100
05-06-2021,15,11.2,18.7,71.6,8.8,100,100,100,100,100
06-06-2021,13,9.2,16.8,69.9,7.6,100,100,100,100,100
07-06-2021,14.5,8.2,20.8,57.7,10.1,100,100,100,100,100
08-06-2021,12,3.1,21,57.6,11.6,100,100,100,100,100
09-06-2021,11.4,4.9,17.9,71.6,8.3,100,100,100,100,100
10-06-2021,12.8,6.6,18.9,70.4,10.2,100,100,100,100,100
11-06-2021,13,2.7,23.2,55.6,11.9,100,100,100,100,100
12-06-2021,14.3,4.2,24.4,44.6,11.9,100,100,100,100,100
13-06-2021,10.4,2.4,18.3,71.8,11.4,100,100,100,100,100
14-06-2021,11.5,2.7,20.4,65.6,10.6,100,100,100,100,100
15-06-2021,9.8,6.7,12.8,82.6,5.2,100,100,100,100,100
16-06-2021,12.2,6.7,17.6,67.3,10.4,100,100,100,100,100
17-06-2021,9.6,2.1,17,72.7,10.9,100,100,100,100,100
18-06-2021,7.7,0.2,15.2,78.6,9.5,100,100,100,100,100
19-06-2021,9.8,5,14.6,74.2,6.7,100,100,100,100,100
20-06-2021,7.4,2.6,12.2,78.5,5,100,100,100,100,100
21-06-2021,9.5,1.8,17.2,62.1,10.2,100,100,100,100,100
22-06-2021,9.7,3,16.4,56,9.4,100,100,100,100,100
23-06-2021,8,5.9,10.2,88.2,2,100,100,100,100,100
24-06-2021,6.8,2.6,11,88,4.1,100,100,100,100,100
25-06-2021,8.6,7.4,9.9,89,1.8,100,100,100,100,100
26-06-2021,7,3.6,10.4,76.2,11.3,100,100,100,100,100
27-06-2021,5.5,-1.6,12.6,69.8,9.5,100,100,100,100,100
28-06-2021,8.3,-2.8,19.4,56.1,13.2,100,100,100,100,100
29-06-2021,9.5,-0.7,19.6,55.2,10.5,100,100,100,100,100
30-06-2021,8.9,3.3,14.5,63.5,7,100,100,100,100,100
