Data,Eto
05-03-2020,8.1
06-03-2020,8.0
07-03-2020,7.7
08-03-2020,7.5
09-03-2020,7.6
10-03-2020,7.8
11-03-2020,8.0
12-03-2020,6.8
13-03-2020,6.4
14-03-2020,6.3
15-03-2020,7.2
16-03-2020,6.2
17-03-2020,5.7
18-03-2020,6.3
19-03-2020,6.2
20-03-2020,5.05
21-03-2020,3.9
22-03-2020,5.1
23-03-2020,6.9
24-03-2020,6.7
25-03-2020,5.7
26-03-2020,5.4
27-03-2020,3.0
28-03-2020,3.5
29-03-2020,4.6
30-03-2020,5.6
31-03-2020,5.8
01-04-2020,5.9
02-04-2020,7.3
03-04-2020,5.4
04-04-2020,4.5
05-04-2020,5.1
06-04-2020,5.5
07-04-2020,6.5
08-04-2020,4.8
09-04-2020,3.5
10-04-2020,3.2
11-04-2020,2.5
12-04-2020,2.0
13-04-2020,3.8
14-04-2020,4.5
15-04-2020,3.8
16-04-2020,4.3
17-04-2020,4.8
18-04-2020,5.0
19-04-2020,4.866666666666666
20-04-2020,4.733333333333333
21-04-2020,4.6
22-04-2020,4.2
23-04-2020,1.8
24-04-2020,1.9
25-04-2020,3.0
26-04-2020,2.8
27-04-2020,3.4
28-04-2020,3.2
29-04-2020,4.2
30-04-2020,3.5
01-05-2020,3.8
02-05-2020,3.5
03-05-2020,3.4
04-05-2020,4.1
05-05-2020,3.4
06-05-2020,3.5
07-05-2020,3.85
08-05-2020,4.2
09-05-2020,4.0
10-05-2020,2.3
11-05-2020,2.4
12-05-2020,1.7
13-05-2020,3.1
14-05-2020,3.5
15-05-2020,3.4
16-05-2020,3.6
17-05-2020,4.3
18-05-2020,2.7
19-05-2020,0.9
20-05-2020,1.0
21-05-2020,1.6
22-05-2020,2.1
23-05-2020,3.0
24-05-2020,3.5
25-05-2020,2.9
26-05-2020,3.0
27-05-2020,0.6
28-05-2020,1.1
29-05-2020,1.3
30-05-2020,1.8
31-05-2020,2.1
01-06-2020,2.0
02-06-2020,1.3
03-06-2020,1.1
04-06-2020,1.4
05-06-2020,1.6
06-06-2020,2.0
07-06-2020,1.6
08-06-2020,0.8
09-06-2020,1.8
10-06-2020,1.4
11-06-2020,1.0
12-06-2020,1.3
13-06-2020,1.4
14-06-2020,2.6
15-06-2020,1.0
16-06-2020,1.0
17-06-2020,1.2
18-06-2020,0.7
19-06-2020,1.1
20-06-2020,0.6
21-06-2020,1.0
22-06-2020,0.7
