,temp,clouds,pressure,wind,humidity
1513346400,26.19,0,1010,2.05,41
1513353600,29.69,0,1009,2.7,33
1513360800,33.17,1,1007,2.1,19
1513368000,31.77,0,1008,3.54,24
1513375200,29.06,1,1007,3.43,42
1513418400,16.77,21,1012,0.75,73
1513425600,18.77,40,1012,0.0,52
1513432800,22.65,84,1012,2.27,56
1513440000,23.61,95,1012,2.59,54
1513447200,27.77,40,1011,3.1,32
1513454400,24.22,96,1012,4.02,47
1513461600,21.87,97,1012,3.11,54
1513504800,15.59,4,1013,1.43,64
1513512000,17.57,1,1014,0.0,61
1513519200,23.94,0,1012,1.15,43
1513526400,26.85,0,1011,2.49,40
1513533600,30.87,0,1010,3.1,26
1513540800,28.78,0,1011,3.41,38
1513548000,27.15,0,1010,2.99,45
1513591200,16.31,1,1010,0.13,64
1513598400,20.57,1,1011,0.0,47
1513605600,24.18,72,1013,3.14,46
1513612800,25.58,78,1014,3.55,43
1513620000,28.67,40,1012,3.1,24
1513627200,25.69,100,1012,2.85,41
1513634400,22.72,77,1011,3.76,51
1513677600,17.89,0,1013,0.43,61
1513684800,19.67,1,1013,0.0,53
1513692000,24.04,0,1012,1.82,48
1513699200,27.4,0,1011,2.88,43
1513706400,29.08,0,1011,3.6,40
1513713600,29.96,0,1010,3.55,41
1513720800,26.95,0,1009,3.48,50
1513764000,19.58,0,1012,0.28,70
1513771200,19.59,0,1013,1.45,73
1513778400,23.06,0,1013,2.24,63
1513785600,26.29,0,1012,3.16,50
1513792800,28.56,0,1012,3.57,44
1513800000,28.47,0,1011,3.78,45
1513807200,26.04,0,1009,3.18,53
1513850400,17.26,0,1012,0.38,65
1513857600,19.08,0,1012,1.43,64
1513864800,24.55,0,1012,2.19,42
1513872000,27.46,0,1011,2.87,34
1513879200,29.02,1,1011,3.25,34
1513886400,29.42,0,1011,3.54,37
1513893600,26.69,0,1010,3.34,56
1513936800,17.72,0,1014,0.56,62
1513944000,18.09,0,1015,1.38,68
1513951200,22.76,0,1014,2.32,57
1513958400,25.78,0,1013,2.89,42
1513965600,27.87,0,1013,3.23,35
1513972800,28.8,0,1012,3.42,33
1513980000,26.34,0,1011,3.17,44
1514023200,15.99,0,1014,0.77,67
1514030400,18.3,0,1014,1.1,62
1514037600,22.81,0,1013,2.03,47
1514044800,25.75,6,1013,2.99,39
1514052000,28.07,20,1012,3.62,37
1514059200,27.73,5,1012,2.87,35
1514066400,25.12,2,1011,2.85,46
1514109600,17.74,0,1014,0.2,55
1514116800,18.73,0,1014,0.81,59
1514124000,23.05,0,1013,1.77,45
1514131200,26.47,0,1012,2.76,33
1514138400,28.64,0,1011,3.22,29
1514145600,29.4,0,1011,3.4,29
1514152800,27.42,0,1010,2.5,39
1514196000,18.75,0,1012,0.74,58
1514203200,19.89,0,1012,0.97,61
1514210400,24.6,0,1011,1.46,47
1514217600,28.07,0,1010,2.46,38
1514224800,29.07,0,1010,3.08,36
1514232000,29.08,0,1010,3.4,37
1514239200,26.15,0,1009,3.41,49
1514282400,17.94,0,1015,0.22,82
1514289600,19.22,6,1016,1.32,75
1514296800,22.97,0,1015,1.89,61
1514304000,25.76,0,1014,2.35,53
1514311200,27.44,58,1014,3.27,46
1514318400,27.41,19,1014,2.32,45
1514325600,26.51,7,1013,3.25,53
1514368800,18.3,24,1017,0.61,74
1514376000,19.58,1,1016,1.38,73
1514383200,24.29,0,1015,1.9,55
1514390400,26.87,0,1015,3.09,46
1514397600,28.89,5,1015,2.4,43
1514404800,30.63,0,1013,2.82,38
1514412000,26.29,0,1013,3.64,44
1514455200,19.12,0,1014,1.41,60
1514462400,20.47,1,1015,0.0,50
1514469600,25.07,0,1014,2.16,49
1514476800,28.56,0,1014,3.02,43
1514484000,31.37,1,1012,4.1,28
1514491200,30.77,0,1012,3.22,36
1514498400,26.89,0,1011,3.51,46
1514541600,18.89,0,1013,0.28,70
1514548800,19.67,1,1014,0.0,63
1514556000,24.03,0,1014,2.6,55
1514563200,26.38,0,1013,2.96,52
1514570400,30.97,1,1010,2.6,29
1514577600,29.83,0,1011,3.75,41
1514584800,27.11,0,1011,3.64,45
1514628000,18.31,0,1016,0.66,68
1514635200,19.27,1,1016,0.0,54
1514642400,23.72,0,1015,1.88,50
1514649600,27.36,0,1014,2.75,43
1514656800,30.07,1,1011,3.1,23
1514664000,28.03,0,1011,3.59,40
1514671200,26.06,0,1011,3.63,49
1514714400,17.78,21,1013,0.7,74
1514721600,18.47,75,1014,0.0,67
1514728800,22.04,81,1014,2.2,59
1514736000,23.24,65,1015,2.57,59
1514743200,25.97,40,1013,1.5,41
