date,tmin,tmax,rhday,rhnight,wind,wc,cod_wc,ra,et0_pmfao56_raxwc
2022-06-07,3.0,16.0,62.0,78.0,12.0,Mayormente soleado,0.7,16.953505967123995,3.2047805001298446
2022-06-08,4.0,17.0,61.0,71.0,11.0,Muy nublado,0.3,16.892478226932162,3.324190670236319
2022-06-09,6.0,19.0,55.0,59.0,10.0,Nublado,0.5,16.835792144763012,4.056161824170076
2022-06-10,6.0,20.0,44.0,54.0,11.0,Mayormente soleado,0.7,16.783460029518697,5.305015820271849
2022-06-11,5.0,19.0,45.0,76.0,12.0,Mayormente soleado,0.7,16.735493054850483,5.124988689809399
2022-06-12,7.0,20.0,48.0,66.0,11.0,Nublado,0.5,16.6919012784992,5.009810516610426
2022-06-13,4.0,16.0,68.0,92.0,14.0,Nublado,0.5,16.6526936604661,2.8732991839838014
2022-06-14,3.0,13.0,78.0,93.0,14.0,Parcialmente nublado,0.7,16.617878079920875,1.8294879412489984
2022-06-15,2.0,13.0,77.0,90.0,13.0,Parcialmente nublado,0.7,16.587461350761064,1.8393238074600875
2022-06-16,1.0,13.0,75.0,85.0,11.0,Parcialmente nublado,0.7,16.561449235744576,1.872814441017145
2022-06-17,2.0,14.0,65.0,81.0,12.0,Mayormente soleado,0.7,16.53984645912528,2.7069739822087975
2022-06-18,3.0,14.0,66.0,81.0,10.0,Parcialmente nublado,0.7,16.522656717730005,2.5463839871865366
2022-06-19,4.0,14.0,64.0,84.0,11.0,Muy nublado,0.3,16.50988269042417,2.772876554951197
2022-06-20,3.0,15.0,69.0,90.0,11.0,Muy nublado,0.3,16.50152604592202,2.4670471200759465
2022-06-21,4.0,12.0,82.0,96.0,11.0,Chubascos,0.2,16.497587448907208,1.3676797842026374
2022-06-22,2.0,11.0,87.0,95.0,11.0,Lluvia,0.05,16.49806656443842,0.8242511019812309
2022-06-23,1.0,11.0,81.0,90.0,9.0,Chubascos matinales,0.2,16.502962060624665,1.2487716572654795
2022-06-24,1.0,11.0,85.0,93.0,10.0,Chubascos matinales,0.2,16.512271609564174,1.0477388983834772
2022-06-25,2.0,13.0,76.0,86.0,10.0,Parcialmente nublado,0.7,16.525991886550948,1.7967148503076007
2022-06-26,1.0,13.0,78.0,84.0,10.0,Parcialmente nublado,0.7,16.544118567562066,1.646193220840712
2022-06-27,4.0,14.0,76.0,78.0,10.0,Chubascos por la tarde,0.2,16.56664632504884,1.8385999344833412
2022-06-28,4.0,16.0,58.0,76.0,9.0,Parcialmente nublado,0.7,16.59356882206411,3.230248017848507
2022-06-29,5.0,15.0,69.0,79.0,9.0,Chubascos,0.2,16.62487870476707,2.3531261601967435
2022-06-30,4.0,15.0,71.0,92.0,11.0,Chubascos,0.2,16.66056759335616,2.323361870667885
