date,tmin,tmax,rhday,rhnight,wind,wc,cod_wc,ra,et0_pmfao56_raxwc
2022-06-05,4.0,15.0,77.0,80.0,10.0,Mayormente soleado,0.7,17.088531386287734,1.9524416434790692
2022-06-06,4.0,17.0,62.0,76.0,11.0,Mayormente soleado,0.7,17.018861900775242,3.2904547776727813
2022-06-07,4.0,17.0,65.0,79.0,11.0,Mayormente soleado,0.7,16.953505967123995,3.0578209440477657
2022-06-08,4.0,18.0,64.0,80.0,12.0,Muy nublado,0.3,16.892478226932162,3.2867094839882105
2022-06-09,6.0,18.0,64.0,56.0,10.0,Nublado,0.5,16.835792144763012,3.209524268524817
2022-06-10,7.0,21.0,38.0,48.0,12.0,Mayormente soleado,0.7,16.783460029518697,6.292416007769465
2022-06-11,5.0,21.0,40.0,69.0,13.0,Mayormente soleado,0.7,16.735493054850483,6.138188779436092
2022-06-12,5.0,19.0,55.0,78.0,12.0,Nublado,0.5,16.6919012784992,4.253492404789872
2022-06-13,3.0,17.0,67.0,91.0,13.0,Nublado,0.5,16.6526936604661,2.965928701932106
2022-06-14,3.0,15.0,72.0,85.0,13.0,Parcialmente nublado,0.7,16.617878079920875,2.391677567181352
2022-06-15,3.0,14.0,74.0,92.0,13.0,Parcialmente nublado,0.7,16.587461350761064,2.158827855480728
2022-06-16,2.0,13.0,75.0,86.0,11.0,Parcialmente nublado,0.7,16.561449235744576,1.9034061119003158
2022-06-17,3.0,14.0,61.0,72.0,10.0,Mayormente soleado,0.7,16.53984645912528,2.8731699410341096
2022-06-18,5.0,17.0,54.0,67.0,10.0,Parcialmente nublado,0.7,16.522656717730005,3.8067913577499324
2022-06-19,3.0,16.0,59.0,82.0,11.0,Muy nublado,0.3,16.50988269042417,3.3057217900850153
2022-06-20,5.0,14.0,70.0,83.0,10.0,Nublado,0.5,16.50152604592202,2.3426029977540903
2022-06-21,5.0,13.0,74.0,90.0,10.0,Chubascos por la tarde,0.2,16.497587448907208,1.9433886497428872
2022-06-22,3.0,12.0,83.0,92.0,12.0,Lluvia,0.05,16.49806656443842,1.1626083043934439
2022-06-23,3.0,12.0,80.0,87.0,10.0,Chubascos,0.2,16.502962060624665,1.4376121837075908
2022-06-24,3.0,14.0,73.0,89.0,10.0,Chubascos matinales,0.2,16.512271609564174,2.010720658508009
2022-06-25,4.0,15.0,68.0,87.0,10.0,Parcialmente nublado,0.7,16.525991886550948,2.542410666511948
2022-06-26,3.0,14.0,77.0,93.0,11.0,Parcialmente nublado,0.7,16.544118567562066,1.870083208576009
2022-06-27,2.0,13.0,79.0,87.0,11.0,Chubascos por la tarde,0.2,16.56664632504884,1.565727837368656
2022-06-28,5.0,15.0,66.0,77.0,9.0,Muy nublado,0.3,16.59356882206411,2.6007155896801573
