date,tmin,tmax,rhday,rhnight,wind,wc,cod_wc,ra,et0_pmfao56_raxwc
2022-06-03,5.0,11.0,84.0,91.0,12.0,Lluvia,0.05,17.240746427242645,1.1025999027419087
2022-06-04,6.0,15.0,75.0,78.0,12.0,Muy nublado,0.3,17.162498582803057,2.1980797654182247
2022-06-05,3.0,16.0,70.0,76.0,11.0,Mayormente soleado,0.7,17.088531386287734,2.5490625064771875
2022-06-06,4.0,18.0,63.0,75.0,11.0,Mayormente soleado,0.7,17.018861900775242,3.3334056935960255
2022-06-07,4.0,17.0,65.0,81.0,11.0,Mayormente soleado,0.7,16.953505967123995,3.0578209440477657
2022-06-08,4.0,17.0,67.0,86.0,12.0,Muy nublado,0.3,16.892478226932162,2.9261744546613713
2022-06-09,6.0,18.0,65.0,60.0,11.0,Nublado,0.5,16.835792144763012,3.2262684561932278
2022-06-10,6.0,22.0,38.0,48.0,10.0,Mayormente soleado,0.7,16.783460029518697,6.026473330362959
2022-06-11,5.0,21.0,40.0,70.0,12.0,Mayormente soleado,0.7,16.735493054850483,5.974356229694188
2022-06-12,5.0,19.0,53.0,75.0,11.0,Nublado,0.5,16.6919012784992,4.303048118838827
2022-06-13,4.0,16.0,65.0,88.0,12.0,Nublado,0.5,16.6526936604661,2.991883889076152
2022-06-14,2.0,14.0,77.0,89.0,12.0,Parcialmente nublado,0.7,16.617878079920875,1.8790098181128876
2022-06-15,4.0,14.0,77.0,93.0,13.0,Parcialmente nublado,0.7,16.587461350761064,1.9755198734556705
2022-06-16,1.0,13.0,82.0,93.0,11.0,Parcialmente nublado,0.7,16.561449235744576,1.4265317880479036
2022-06-17,2.0,15.0,70.0,76.0,11.0,Mayormente soleado,0.7,16.53984645912528,2.3971724745003797
2022-06-18,5.0,17.0,55.0,68.0,10.0,Parcialmente nublado,0.7,16.522656717730005,3.732753875467755
2022-06-19,4.0,15.0,59.0,71.0,9.0,Nublado,0.5,16.50988269042417,3.0407483288024864
2022-06-20,4.0,13.0,67.0,85.0,12.0,Muy nublado,0.3,16.50152604592202,2.535198773326734
2022-06-21,4.0,13.0,75.0,87.0,10.0,Nublado,0.5,16.497587448907208,1.9017585873248262
2022-06-22,4.0,14.0,76.0,88.0,9.0,Chubascos,0.2,16.49806656443842,1.7810393730972944
2022-06-23,3.0,14.0,77.0,87.0,11.0,Chubascos,0.2,16.502962060624665,1.7875344402690154
2022-06-24,2.0,14.0,73.0,79.0,9.0,Nublado,0.5,16.512271609564174,1.9786454266242688
2022-06-25,3.0,16.0,63.0,88.0,11.0,Nublado,0.5,16.525991886550948,3.0203658348888243
2022-06-26,3.0,15.0,77.0,89.0,10.0,Parcialmente nublado,0.7,16.544118567562066,1.8960074350256642
