,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,27-07-2022,3°,13°,84%,92%,SO 13 km/h,0 days 10:23:00,Nublado
1,28-07-2022,5°,17°,74%,71%,SSE 11 km/h,0 days 10:24:00,Parcialmente nublado
2,29-07-2022,6°,21°,47%,83%,SE 13 km/h,0 days 10:25:00,Parcialmente nublado
3,30-07-2022,4°,16°,77%,94%,SSO 13 km/h,0 days 10:27:00,Nubes por la mañana / Sol por la tarde
4,31-07-2022,5°,15°,78%,94%,SSO 14 km/h,0 days 10:28:00,Muy nublado
5,01-08-2022,5°,14°,80%,93%,SO 13 km/h,0 days 10:30:00,Muy nublado
6,02-08-2022,3°,14°,79%,93%,SSO 13 km/h,0 days 10:31:00,Parcialmente nublado
7,03-08-2022,3°,16°,71%,86%,SSO 12 km/h,0 days 10:32:00,Parcialmente nublado
8,04-08-2022,3°,17°,64%,83%,S 11 km/h,0 days 10:34:00,Mayormente soleado
9,05-08-2022,3°,15°,70%,86%,SO 12 km/h,0 days 10:36:00,Parcialmente nublado
10,06-08-2022,3°,16°,69%,86%,SSO 13 km/h,0 days 10:37:00,Parcialmente nublado
11,07-08-2022,4°,16°,68%,82%,S 12 km/h,0 days 10:39:00,Mayormente soleado
12,08-08-2022,3°,16°,63%,82%,S 12 km/h,0 days 10:41:00,Parcialmente nublado
13,09-08-2022,4°,16°,66%,82%,SSE 12 km/h,0 days 10:42:00,Parcialmente nublado
