,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,12-06-2022,5°,19°,59%,83%,SE 11 km/h,0 days 09:58:00,Nublado
1,13-06-2022,3°,15°,69%,93%,SSO 12 km/h,0 days 09:58:00,Nublado
2,14-06-2022,2°,14°,77%,89%,SO 12 km/h,0 days 09:57:00,Parcialmente nublado
3,15-06-2022,4°,14°,76%,93%,SSO 13 km/h,0 days 09:57:00,Parcialmente nublado
4,16-06-2022,2°,13°,75%,86%,SSO 11 km/h,0 days 09:57:00,Parcialmente nublado
5,17-06-2022,2°,13°,71%,82%,S 10 km/h,0 days 09:56:00,Mayormente soleado
6,18-06-2022,3°,14°,66%,81%,SSE 10 km/h,0 days 09:56:00,Parcialmente nublado
7,19-06-2022,3°,14°,66%,77%,S 11 km/h,0 days 09:56:00,Muy nublado
8,20-06-2022,3°,13°,67%,81%,SE 10 km/h,0 days 09:56:00,Muy nublado
9,21-06-2022,2°,12°,78%,91%,SE 10 km/h,0 days 09:56:00,Chubascos
10,22-06-2022,2°,11°,80%,89%,S 10 km/h,0 days 09:56:00,Lluvia
11,23-06-2022,2°,12°,74%,83%,ESE 10 km/h,0 days 09:56:00,Lluvia
12,24-06-2022,2°,12°,72%,83%,ESE 10 km/h,0 days 09:56:00,Chubascos
13,25-06-2022,2°,13°,71%,83%,ESE 10 km/h,0 days 09:57:00,Parcialmente nublado
