,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,11-06-2022,5°,20°,41%,71%,SE 11 km/h,0 days 09:59:00,Mayormente soleado
1,12-06-2022,5°,19°,55%,78%,SE 11 km/h,0 days 09:58:00,Nublado
2,13-06-2022,4°,16°,65%,88%,S 12 km/h,0 days 09:58:00,Nublado
3,14-06-2022,4°,15°,72%,85%,SO 13 km/h,0 days 09:57:00,Parcialmente nublado
4,15-06-2022,3°,14°,74%,92%,SO 13 km/h,0 days 09:57:00,Parcialmente nublado
5,16-06-2022,1°,13°,77%,84%,SE 11 km/h,0 days 09:57:00,Parcialmente nublado
6,17-06-2022,2°,14°,65%,81%,S 12 km/h,0 days 09:56:00,Mayormente soleado
7,18-06-2022,2°,12°,72%,86%,SE 11 km/h,0 days 09:56:00,Parcialmente nublado
8,19-06-2022,2°,12°,72%,83%,SE 11 km/h,0 days 09:56:00,Muy nublado
9,20-06-2022,3°,13°,68%,76%,SE 10 km/h,0 days 09:56:00,Muy nublado
10,21-06-2022,2°,12°,71%,85%,SSE 10 km/h,0 days 09:56:00,Chubascos
11,22-06-2022,2°,12°,73%,83%,SE 11 km/h,0 days 09:56:00,Lluvia
12,23-06-2022,2°,13°,71%,77%,ESE 12 km/h,0 days 09:56:00,Lluvia
13,24-06-2022,3°,14°,64%,73%,ESE 10 km/h,0 days 09:56:00,Chubascos
