,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,14-06-2022,3°,14°,78%,88%,SO 12 km/h,0 days 09:57:00,Parcialmente nublado
1,15-06-2022,5°,14°,76%,94%,SSO 12 km/h,0 days 09:57:00,Parcialmente nublado
2,16-06-2022,1°,13°,82%,93%,SO 11 km/h,0 days 09:57:00,Parcialmente nublado
3,17-06-2022,3°,15°,70%,74%,SSE 10 km/h,0 days 09:56:00,Mayormente soleado
4,18-06-2022,5°,17°,54%,67%,SE 10 km/h,0 days 09:56:00,Parcialmente nublado
5,19-06-2022,3°,17°,55%,77%,S 11 km/h,0 days 09:56:00,Muy nublado
6,20-06-2022,3°,15°,69%,90%,SSO 11 km/h,0 days 09:56:00,Muy nublado
7,21-06-2022,4°,13°,82%,96%,SSO 11 km/h,0 days 09:56:00,Chubascos
8,22-06-2022,3°,12°,87%,96%,SE 11 km/h,0 days 09:56:00,Lluvia
9,23-06-2022,2°,12°,82%,94%,SE 10 km/h,0 days 09:56:00,Lluvia
10,24-06-2022,2°,12°,78%,89%,SE 10 km/h,0 days 09:56:00,Chubascos
11,25-06-2022,2°,13°,73%,85%,SE 10 km/h,0 days 09:57:00,Parcialmente nublado
12,26-06-2022,2°,13°,72%,85%,SE 10 km/h,0 days 09:57:00,Chubascos
13,27-06-2022,3°,14°,72%,82%,ESE 9 km/h,0 days 09:57:00,Chubascos
