,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,03-07-2022,1°,11°,65%,74%,SE 8 km/h,0 days 10:00:00,Nublado
1,04-07-2022,-1°,14°,64%,81%,SE 11 km/h,0 days 10:00:00,Soleado
2,05-07-2022,2°,13°,67%,89%,S 13 km/h,0 days 10:01:00,Soleado
3,06-07-2022,1°,13°,74%,82%,SE 10 km/h,0 days 10:01:00,Chubascos matinales
4,07-07-2022,3°,16°,61%,73%,ESE 10 km/h,0 days 10:02:00,Soleado
5,08-07-2022,3°,17°,56%,75%,ESE 11 km/h,0 days 10:02:00,Soleado
6,09-07-2022,4°,17°,60%,77%,ESE 12 km/h,0 days 10:04:00,Soleado
7,10-07-2022,3°,14°,70%,91%,ESE 13 km/h,0 days 10:04:00,Chubascos
8,11-07-2022,3°,14°,77%,88%,ESE 10 km/h,0 days 10:05:00,Chubascos
9,12-07-2022,2°,13°,72%,83%,SE 10 km/h,0 days 10:05:00,Parcialmente nublado
10,13-07-2022,2°,14°,70%,78%,SE 11 km/h,0 days 10:07:00,Mayormente soleado
11,14-07-2022,3°,15°,67%,76%,SE 11 km/h,0 days 10:08:00,Parcialmente nublado
12,15-07-2022,3°,15°,64%,74%,SE 11 km/h,0 days 10:08:00,Mayormente soleado
13,16-07-2022,3°,16°,59%,74%,ESE 11 km/h,0 days 10:10:00,Mayormente soleado
