,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,11-07-2022,2°,12°,82%,79%,ESE 8 km/h,0 days 10:05:00,Chubascos matinales
1,12-07-2022,2°,14°,63%,83%,SE 9 km/h,0 days 10:05:00,Mayormente soleado
2,13-07-2022,2°,12°,73%,93%,SSE 11 km/h,0 days 10:07:00,Lluvia débil por la tarde
3,14-07-2022,1°,7°,91%,96%,N 9 km/h,0 days 10:07:00,Lluvia
4,15-07-2022,-2°,8°,83%,84%,SSE 7 km/h,0 days 10:08:00,Chubascos
5,16-07-2022,-1°,10°,69%,74%,ESE 8 km/h,0 days 10:10:00,Mayormente soleado
6,17-07-2022,2°,13°,62%,69%,ESE 9 km/h,0 days 10:10:00,Mayormente soleado
7,18-07-2022,3°,15°,61%,70%,ESE 10 km/h,0 days 10:12:00,Mayormente soleado
8,19-07-2022,4°,16°,63%,75%,ESE 10 km/h,0 days 10:12:00,Parcialmente nublado
9,20-07-2022,4°,15°,66%,77%,ESE 9 km/h,0 days 10:14:00,Parcialmente nublado
10,21-07-2022,3°,14°,70%,83%,ESE 10 km/h,0 days 10:15:00,Parcialmente nublado
11,22-07-2022,3°,13°,76%,86%,ESE 11 km/h,0 days 10:16:00,Parcialmente nublado
12,23-07-2022,4°,14°,74%,81%,ESE 10 km/h,0 days 10:17:00,Chubascos por la tarde
13,24-07-2022,3°,13°,70%,82%,ESE 10 km/h,0 days 10:19:00,Muy nublado
