,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,02-08-2022,3°,16°,77%,89%,S 12 km/h,0 days 10:32:00,Parcialmente nublado
1,03-08-2022,3°,16°,73%,90%,SSO 15 km/h,0 days 10:32:00,Mayormente soleado
2,04-08-2022,3°,17°,71%,82%,S 13 km/h,0 days 10:34:00,Soleado
3,05-08-2022,5°,18°,63%,78%,S 12 km/h,0 days 10:36:00,Parcialmente nublado
4,06-08-2022,5°,15°,70%,89%,SSO 14 km/h,0 days 10:37:00,Chubascos por la tarde
5,07-08-2022,3°,12°,80%,90%,S 11 km/h,0 days 10:39:00,Tormentas eléctricas
6,08-08-2022,3°,15°,69%,76%,S 11 km/h,0 days 10:41:00,Mayormente soleado
7,09-08-2022,4°,15°,56%,73%,SSE 10 km/h,0 days 10:42:00,Parcialmente nublado
8,10-08-2022,3°,16°,60%,77%,S 12 km/h,0 days 10:44:00,Parcialmente nublado
9,11-08-2022,4°,16°,61%,75%,S 12 km/h,0 days 10:46:00,Parcialmente nublado
10,12-08-2022,5°,17°,59%,77%,S 12 km/h,0 days 10:47:00,Mayormente soleado
11,13-08-2022,6°,18°,61%,75%,SE 12 km/h,0 days 10:49:00,Parcialmente nublado
12,14-08-2022,6°,18°,60%,79%,SSE 12 km/h,0 days 10:51:00,Parcialmente nublado
13,15-08-2022,5°,16°,68%,86%,S 13 km/h,0 days 10:52:00,Parcialmente nublado
