,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,31-07-2022,5°,16°,78%,94%,SSO 13 km/h,0 days 10:28:00,Parcialmente nublado
1,01-08-2022,4°,13°,86%,95%,SO 13 km/h,0 days 10:30:00,Muy nublado
2,02-08-2022,3°,15°,80%,93%,SSO 13 km/h,0 days 10:31:00,Mayormente soleado
3,03-08-2022,3°,16°,74%,90%,SSO 13 km/h,0 days 10:32:00,Mayormente soleado
4,04-08-2022,3°,17°,68%,83%,S 13 km/h,0 days 10:34:00,Parcialmente nublado
5,05-08-2022,4°,17°,67%,88%,SSO 12 km/h,0 days 10:36:00,Parcialmente nublado
6,06-08-2022,4°,14°,77%,94%,SSO 12 km/h,0 days 10:37:00,Chubascos por la tarde
7,07-08-2022,2°,13°,78%,94%,SSO 11 km/h,0 days 10:39:00,Chubascos
8,08-08-2022,2°,14°,74%,89%,SSE 11 km/h,0 days 10:41:00,Parcialmente nublado
9,09-08-2022,4°,15°,70%,84%,SSE 11 km/h,0 days 10:42:00,Parcialmente nublado
10,10-08-2022,4°,16°,68%,82%,SSE 12 km/h,0 days 10:44:00,Parcialmente nublado
11,11-08-2022,4°,17°,63%,77%,SSE 12 km/h,0 days 10:46:00,Mayormente soleado
12,12-08-2022,5°,17°,60%,79%,SE 11 km/h,0 days 10:47:00,Parcialmente nublado
13,13-08-2022,5°,17°,63%,80%,SSE 12 km/h,0 days 10:49:00,Parcialmente nublado
