,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,06-07-2022,0°,9°,82%,90%,ESE 10 km/h,0 days 10:01:00,Lluvia
1,07-07-2022,4°,16°,66%,75%,ESE 8 km/h,0 days 10:02:00,Soleado
2,08-07-2022,3°,16°,67%,93%,SE 12 km/h,0 days 10:02:00,Parcialmente nublado
3,09-07-2022,3°,9°,90%,94%,NNE 12 km/h,0 days 10:04:00,Lluvia
4,10-07-2022,1°,10°,86%,90%,E 8 km/h,0 days 10:04:00,Lluvia
5,11-07-2022,2°,12°,76%,78%,ESE 9 km/h,0 days 10:05:00,Chubascos matinales
6,12-07-2022,2°,13°,68%,81%,ESE 9 km/h,0 days 10:05:00,Parcialmente nublado
7,13-07-2022,2°,13°,72%,84%,ESE 9 km/h,0 days 10:07:00,Parcialmente nublado
8,14-07-2022,2°,13°,73%,87%,ESE 10 km/h,0 days 10:07:00,Parcialmente nublado
9,15-07-2022,1°,12°,77%,87%,ESE 10 km/h,0 days 10:08:00,Chubascos por la tarde
10,16-07-2022,1°,12°,76%,81%,ESE 10 km/h,0 days 10:10:00,Parcialmente nublado
11,17-07-2022,2°,13°,67%,75%,ESE 9 km/h,0 days 10:10:00,Mayormente soleado
12,18-07-2022,2°,13°,66%,77%,ESE 10 km/h,0 days 10:12:00,Parcialmente nublado
13,19-07-2022,2°,14°,67%,77%,ESE 10 km/h,0 days 10:12:00,Parcialmente nublado
