Data,Eto
2016-01-01,5.044159606259962
2016-01-02,4.665471723355338
2016-01-03,4.072057153724914
2016-01-04,2.919513071194212
2016-01-05,3.0607169965321552
2016-01-06,3.3868369668198417
2016-01-07,3.6129247445171346
2016-01-08,2.796019627408735
2016-01-09,4.692482130273427
2016-01-10,5.287460388801526
2016-01-11,5.383601209323842
2016-01-12,3.415659002989544
2016-01-13,5.006356739049573
2016-01-14,5.361650548223891
2016-01-15,5.1411553944824355
2016-01-16,5.3688450620279236
2016-01-17,5.307466648284639
2016-01-18,5.266814072996946
2016-01-19,5.358957082552295
2016-01-20,5.495933632449234
2016-01-21,5.651638442004577
2016-01-22,5.444697783349863
2016-01-23,4.522764387724496
2016-01-24,3.325701572181673
2016-01-25,3.523792340207182
2016-01-26,4.038851223794512
2016-01-27,2.9464403364569183
2016-01-28,3.511585738978309
2016-01-29,3.8944551785965196
2016-01-30,5.1669837079650724
2016-01-31,5.177261583196914
2016-02-01,5.180139188891615
2016-02-02,4.764059122085827
2016-02-03,5.062649645455454
2016-02-04,4.1292939602369145
2016-02-05,4.901055834021529
2016-02-06,5.092227022078614
2016-02-07,5.106072439420142
2016-02-08,5.027851780677112
2016-02-09,5.097825792602329
2016-02-10,5.2033317224821385
2016-02-11,5.10279888810458
2016-02-12,4.474131168453252
2016-02-13,4.871015991725604
2016-02-14,4.803183442849671
2016-02-15,4.812024268625839
2016-02-16,4.945757817468797
2016-02-17,4.819118943629615
2016-02-18,4.58048900306065
2016-02-19,4.588770533527122
2016-02-20,4.599826772218094
2016-02-21,4.670144505015072
2016-02-22,4.463756040482838
2016-02-23,4.768350226788615
2016-02-24,4.625382455666098
2016-02-25,4.4289622565525475
2016-02-26,3.6225287989597037
2016-02-27,4.262245100678527
2016-02-28,4.207905367584175
2016-02-29,4.0706628195483106
2016-03-01,4.31796941551291
2016-03-02,4.205801585390137
2016-03-03,3.7182612350330273
2016-03-04,4.08035092086824
2016-03-05,4.037828894527213
2016-03-06,2.997930844042117
2016-03-07,2.903444707571341
2016-03-08,4.076760082431711
2016-03-09,4.047111901409135
2016-03-10,4.068594794736518
2016-03-11,3.6719562064132227
2016-03-12,3.4810970466952313
2016-03-13,3.943620388771175
2016-03-14,3.61472026427766
2016-03-15,3.4305950447210045
2016-03-16,3.266197084833271
2016-03-17,2.9165993232878145
2016-03-18,3.733016476377378
2016-03-19,3.7471443846565813
2016-03-20,3.6927632352521664
2016-03-21,3.4512417545014844
2016-03-22,3.6159746671741857
2016-03-23,3.5718303684868316
2016-03-24,2.8988699000101374
2016-03-25,3.326490476086857
2016-03-26,2.754729997237374
2016-03-27,2.5036214682907634
2016-03-28,3.0418362647794224
2016-03-29,2.870653366552398
2016-03-30,2.182985515517543
2016-03-31,1.9650202408241444
2016-04-01,1.9522500332481085
2016-04-02,2.135120846214522
2016-04-03,2.030696785054241
2016-04-04,1.9298531636971137
2016-04-05,1.9454650309833499
2016-04-06,2.52126668150734
2016-04-07,2.083903646393541
2016-04-08,2.6380144840873307
2016-04-09,2.8450782324417005
2016-04-10,2.567557722132077
2016-04-11,2.457310252505224
2016-04-12,1.5819197601540782
2016-04-13,1.7813637882741435
2016-04-14,1.3129187724391291
2016-04-15,1.3855265155184808
2016-04-16,1.3133256002400477
2016-04-17,1.0979719348524803
2016-04-18,1.4254175553335102
2016-04-19,1.740416505377111
2016-04-20,1.747094506921495
2016-04-21,1.7256555580130308
2016-04-22,1.4930113002628793
2016-04-23,1.1664024257333223
2016-04-24,1.0502374408357413
2016-04-25,1.6566452259963462
2016-04-26,1.81805713642644
2016-04-27,1.2194752683180112
2016-04-28,1.0493783383786415
2016-04-29,1.3673669371086248
2016-04-30,1.871528702470875
2016-05-01,1.1403273323358634
2016-05-02,1.010757733822687
2016-05-03,1.3312176071499116
2016-05-04,1.4472893804646443
2016-05-05,1.0422809467397596
2016-05-06,1.105146303808856
2016-05-07,1.1155785138547734
2016-05-08,1.0029896908971416
2016-05-09,1.0483281611211548
2016-05-10,0.9799983268427125
2016-05-11,1.0026616182973944
2016-05-12,0.9443682876740535
2016-05-13,0.8791005217654927
2016-05-14,0.8731913617570074
2016-05-15,0.9481621369763094
2016-05-16,0.9486927515384836
2016-05-17,0.9376249511158667
2016-05-18,0.808942417139949
2016-05-19,0.8180550797976176
2016-05-20,0.9009006657357903
2016-05-21,0.8557415196444921
2016-05-22,0.8954160629330362
2016-05-23,0.7863218425935157
2016-05-24,0.8096458063899014
2016-05-25,0.7655939121768279
2016-05-26,0.8170944188133852
2016-05-27,0.7627143850498911
2016-05-28,0.7259813488664677
2016-05-29,0.6662524530026258
2016-05-30,0.7634311924562044
2016-05-31,0.7410733972483045
2016-06-01,0.6996328473610237
2016-06-02,0.6028071097118889
2016-06-03,0.60017043035872
