Data,Eto
2022-11-29,4.600000253372093
2022-11-28,5.523223005875067
2022-11-27,5.419559108414713
2022-11-26,4.783748784696731
2022-11-25,5.087601424964395
2022-11-24,5.125392474749272
2022-11-23,5.125922446206774
2022-11-22,4.057725870623869
2022-11-21,4.949822709660212
2022-11-20,4.794878876493836
2022-11-19,5.2014357362066255
2022-11-18,5.090271427811294
2022-11-17,5.0188701405807485
2022-11-16,4.887033719161654
2022-11-15,4.1533161260047695
2022-11-14,4.585974436983498
2022-11-13,3.57262219279917
2022-11-12,2.2570948973784075
2022-11-11,2.3546260180788003
2022-11-10,3.228770812899141
2022-11-09,2.024004349329352
2022-11-08,2.943838855584006
2022-11-07,3.219509663670196
2022-11-06,3.8750208542720745
2022-11-05,3.5628448770596517
2022-11-04,3.8283774039519596
2022-11-03,5.353192441891595
2022-11-02,5.12903298334734
2022-11-01,4.609302715303741
2022-10-31,4.871204283415384
2022-10-30,4.68
