date,tmin,tmax,temp,rh,rhmin,rhmax,wind,cod_wc,ra,et0_pmfao56_raxwc
2021-01-04,10.14,32.08,19.446666666666665,52.48583333333334,22.7,84.89,2.754583333333333,1.0,44.0037713766795,8.964822165637568
2021-01-05,6.75,30.47,16.888020833333332,57.5209375,15.06,91.8,2.748645833333333,0.9223958333333333,43.957895559843365,7.641720182373718
2021-01-06,6.21,31.01,17.0134375,55.965833333333336,14.03,92.76,2.5226041666666665,0.9592708333333333,43.908658512103194,7.9715268456834405
2021-01-07,7.88,31.08,18.15427083333333,56.5821875,21.27,87.79,2.7452083333333337,0.9983333333333333,43.85605961608738,8.411301605588616
2021-01-08,7.97,32.02,18.269895833333333,56.20666666666667,17.85,91.61,2.7275,0.9957291666666667,43.80009847035968,8.543688251180845
2021-01-09,7.01,29.06,16.408958333333334,55.364375,14.13,91.9,2.773229166666667,0.9033333333333333,43.74077491084773,7.3761817675202055
2021-01-10,5.68,28.8,15.372395833333334,54.15479166666666,13.66,84.23,2.5840625,0.6551041666666666,43.67808903353629,5.811506145054693
2021-01-11,6.1,29.64,16.268125,54.8425,17.42,90.03,2.291770833333333,0.9065624999999999,43.61204121842225,7.305524934413195
2021-01-12,7.44,31.92,17.760520833333334,50.228437500000005,15.12,83.01,2.4076041666666668,1.0,43.542632154725545,8.637089327295417
2021-01-13,7.11,31.3,17.377708333333334,40.639270833333335,13.04,71.01,2.3673958333333336,0.9921875,43.46986286734538,8.81850576554012
2021-01-14,6.15,31.53,17.136875,46.33145833333333,14.2,77.78,2.4769791666666667,1.0,43.39373474454754,8.669078408746033
2021-01-15,7.69,32.47,18.31114583333333,48.46833333333333,12.9,82.12,2.7897916666666664,1.0,43.31424956686332,8.96444085141368
2021-01-16,7.5,30.72,17.614375,49.695625,15.34,83.5,2.3703125000000003,0.8817708333333334,43.231409537176255,7.568876556861479
2021-01-17,8.71,33.39,19.375729166666662,44.26166666666666,8.98,77.59,2.4292708333333333,1.0,43.145217311967514,9.200619394506692
2021-01-18,8.75,31.54,18.93489583333333,49.498125,20.87,80.65,2.5229166666666667,1.0,43.05567603368533,8.692150544050843
2021-01-19,9.14,32.05,19.143541666666668,55.91729166666667,22.0,86.4,2.568020833333333,0.9942708333333333,42.9627893641986,8.470057913869397
2021-01-20,10.96,31.42,19.91375,55.99239583333334,24.75,83.9,2.557916666666667,0.8820833333333333,42.866561519288965,7.653523120406264
2021-01-21,10.38,31.26,19.375,59.71802083333333,26.2,89.21,2.6655208333333333,0.8709375,42.76699730413018,7.356290241769354
2021-01-22,10.74,31.92,19.5415625,61.86645833333333,25.62,91.44,2.7270833333333333,0.9998958333333333,42.664102149697406,8.28744234658257
2021-01-23,10.37,32.36,19.3425,63.80083333333334,25.3,95.36,2.380104166666667,0.9770833333333333,42.557882150043866,7.981769549846587
2021-01-24,11.07,32.65,20.206770833333334,59.54229166666667,24.3,92.48,2.826770833333333,0.9966666666666667,42.44834410037607,8.519874320309045
2021-01-25,10.04,31.58,18.516770833333336,62.28333333333333,19.12,96.28,2.5630208333333333,0.5464583333333335,42.33549553585344,5.304827559163865
2021-01-26,8.92,31.62,17.89979166666667,59.315312500000005,13.24,91.04,2.62125,0.36145833333333344,42.21934477103255,4.56618573694327
2021-01-27,6.5,31.15,16.750520833333333,51.337604166666665,11.86,85.81,2.2815625,0.9967708333333334,42.099900939870786,8.076585474479655
2021-01-28,7.24,31.08,18.008645833333333,49.7071875,13.9,83.33,2.597395833333333,0.75375,41.97717403619926,6.682047715780554
2021-01-29,9.43,29.01,18.0803125,58.76895833333333,23.11,87.08,2.4890625,0.411875,41.85117495456971,4.4682650411002465
2021-01-30,11.74,27.46,17.85354166666667,72.27333333333333,22.8,99.79,2.080416666666667,0.10072916666666676,41.7219155313752,1.8557939290995957
2021-01-31,13.4,25.99,18.2734375,74.23583333333333,41.86,96.0,2.420729166666667,0.4621875,41.58940858614093,3.8633925614611457
2021-02-01,10.75,25.7,16.9075,69.5759375,37.5,92.82,1.7787499999999998,0.38375000000000004,41.453667962876274,3.3898797114561434
2021-02-02,10.94,27.16,17.270416666666666,70.97031249999999,32.52,95.5,1.9635416666666667,0.6879166666666667,41.31470857137676,4.945765808981694
2021-02-03,13.31,33.57,21.50916666666667,56.00927083333334,15.48,86.6,1.514375,0.9626041666666667,41.17254642836024,8.003088383894653
2021-02-04,16.9,33.24,23.38125,50.05833333333334,26.4,79.93,2.3348958333333334,1.0,41.027198698319616,9.044093298806267
2021-02-05,14.55,28.91,20.0675,65.71302083333333,34.41,89.6,2.3463541666666665,0.999375,40.87868373397143,7.618391219360208
2021-02-06,12.78,27.54,18.755,68.66854166666667,38.7,94.08,2.399375,0.9672916666666667,40.72702111617817,6.9584629908179405
2021-02-07,11.47,26.93,17.144479166666667,72.69833333333334,41.22,94.9,2.2882291666666665,0.7673958333333333,40.57223169322009,5.212642640391489
2021-02-08,11.83,28.48,18.3328125,66.09270833333333,33.98,93.84,2.014270833333333,0.9753125,40.414337619291665,7.0404834434229695
2021-02-09,12.95,31.33,20.146041666666665,57.485104166666666,25.8,91.43,2.1284375,0.94625,40.25336239209747,7.575468058964955
2021-02-10,14.07,29.99,20.14739583333333,67.4603125,35.2,92.9,2.371354166666667,0.86625,40.08933088942139,6.567779841477236
2021-02-11,13.25,28.36,18.73927083333333,72.5775,36.6,96.04,2.4252083333333334,0.7475,39.92226940454459,5.301438309952823
