date,t_min,t_max,temp,wind,humidity_min,humidity_max,humidity,clouds
2021-12-16,9.67,28.85,17.568437499999998,2.675104166666667,24.37,87.47,54.69822916666666,0.0
2021-12-17,9.4,29.33,17.705208333333335,2.3422916666666667,20.91,89.33,52.4271875,0.0
2021-12-18,10.74,32.15,19.934791666666666,2.2510416666666666,15.5,60.98,38.243229166666666,0.0
2021-12-19,11.28,32.89,20.503229166666667,2.495833333333333,15.08,71.02,37.29572916666667,0.0
2021-12-20,12.03,34.32,21.6659375,2.56,11.4,75.83,41.719166666666666,0.1875
2021-12-21,12.75,33.95,21.5715625,2.581354166666667,13.3,78.91,43.290416666666665,0.0104166666666666
2021-12-22,11.12,31.4,19.81177083333333,2.865833333333333,20.38,93.47,54.008125,1.03125
