date,t_min,t_max,temp,wind,humidity_min,humidity_max,humidity,clouds
2022-04-30,9.84,21.91,14.769895833333337,1.1276041666666667,24.77,62.25,44.67489583333333,3.1979166666666665
2022-05-01,9.97,20.94,14.318333333333332,1.2476041666666666,28.43,62.3,47.63395833333333,5.625
2022-05-02,9.97,23.19,15.171145833333334,1.063125,26.71,68.1,48.47375,20.71875
2022-05-03,11.66,25.26,16.961354166666666,1.2410416666666666,20.4,62.2,41.313229166666666,0.53125
2022-05-04,12.85,25.41,17.810729166666665,1.2454166666666666,18.6,60.68,39.69885416666667,67.30208333333333
2022-05-05,12.33,24.55,16.93614583333333,1.4448958333333335,24.6,76.7,46.904270833333335,80.17708333333333
2022-05-06,9.32,22.38,14.988854166666668,1.1721875,28.39,82.9,57.414479166666666,47.770833333333336
