date,t_min,t_max,temp,wind,humidity_min,humidity_max,humidity,clouds
2021-04-21,11.35,20.74,14.9553125,1.716875,35.35,91.9,67.35635416666666,61.552083333333336
2021-04-22,10.3,20.48,13.838020833333331,1.4079166666666667,42.89,93.15,74.4540625,95.14583333333331
2021-04-23,10.0,21.91,14.6653125,1.5046875,35.81,92.36,68.05802083333333,56.71875
2021-04-24,11.55,25.49,17.286145833333332,1.2908333333333333,20.42,78.9,46.86875,13.927083333333334
2021-04-25,13.05,27.69,18.76427083333333,1.3822916666666665,14.08,47.18,32.08291666666667,0.0
2021-04-26,12.73,26.21,17.738854166666666,1.2964583333333333,18.2,69.99,39.86208333333334,0.5729166666666666
2021-04-27,12.4,26.95,17.83875,1.4776041666666666,18.28,74.7,46.4365625,0.0
