date,t_min,t_max,temp,wind,humidity_min,humidity_max,humidity,clouds
2022-04-10,9.3,20.66,13.258020833333331,1.9280208333333333,37.9,86.82,65.71843750000001,1.8958333333333333
2022-04-11,8.19,21.76,13.768229166666666,1.6345833333333333,31.23,87.2,60.69947916666666,5.770833333333333
2022-04-12,10.44,22.43,15.7515625,1.289791666666667,26.52,68.97,44.861875,86.86458333333333
2022-04-13,11.67,27.04,18.109375,1.485,13.45,45.46,30.49020833333333,17.177083333333332
2022-04-14,13.48,30.44,20.113541666666663,1.6682291666666669,9.19,43.4,21.882395833333334,0.0
2022-04-15,11.58,27.74,17.604791666666667,1.7215625,14.23,70.64,35.49760416666667,1.34375
2022-04-16,9.85,26.33,16.081354166666667,1.6189583333333333,19.09,88.0,52.12447916666667,1.0208333333333333
