date,t_min,t_max,temp,wind,humidity_min,humidity_max,humidity,clouds
2021-07-21,11.18,21.86,15.146666666666668,0.9573958333333332,19.0,56.45,30.226354166666667,84.21875
2021-07-22,10.5,23.65,15.417395833333332,1.1046875,17.63,52.81,34.914375,86.60416666666667
2021-07-23,9.26,20.57,13.568020833333334,1.2622916666666666,31.3,75.7,49.150625,78.34375
2021-07-24,6.02,17.41,11.004270833333337,1.520729166666667,41.34,98.6,69.12833333333333,74.33333333333333
2021-07-25,4.73,15.78,9.791354166666666,1.245,44.57,94.89,69.30083333333333,35.416666666666664
2021-07-26,4.81,19.9,10.597395833333334,1.4501041666666667,14.4,83.85,49.720416666666665,0.2083333333333333
2021-07-27,4.46,18.81,10.095104166666667,1.2546875,23.88,78.91,46.72333333333333,9.708333333333334
