date,t_min,t_max,temp,wind,humidity_min,humidity_max,humidity,clouds
2021-08-21,6.33,16.48,9.903541666666667,1.7364583333333332,40.66,98.35,71.15510416666667,91.60416666666669
2021-08-22,5.43,14.58,9.447604166666666,1.2385416666666669,60.9,94.04,80.30302083333333,69.9375
2021-08-23,4.94,14.61,8.837604166666667,1.565208333333333,46.95,93.01,77.26520833333333,82.80208333333333
2021-08-24,3.2,13.76,7.519583333333333,1.5783333333333334,51.8,94.33,77.24020833333334,40.552083333333336
2021-08-25,3.5,11.79,6.240104166666666,1.2703125,54.86,93.34,83.11239583333334,78.11458333333333
2021-08-26,2.49,17.35,8.424583333333333,1.5836458333333334,23.77,91.46,60.50895833333333,4.375
2021-08-27,3.72,20.18,10.251458333333334,1.5460416666666663,22.06,83.99,54.96625,29.729166666666668
