date,t_min,t_max,temp,wind,humidity_min,humidity_max,humidity,clouds
2021-05-08,10.35,18.42,13.4075,1.2842708333333337,48.21,88.1,72.01239583333333,93.32291666666669
2021-05-09,10.66,20.38,14.511041666666666,1.0033333333333332,40.51,81.1,62.352916666666665,63.802083333333336
2021-05-10,11.03,23.41,15.928333333333333,1.3982291666666666,24.05,66.45,49.05625,35.947916666666664
2021-05-11,11.51,24.83,16.702708333333334,1.133541666666667,18.0,59.6,39.99,17.427083333333332
2021-05-12,11.24,24.27,16.575208333333332,1.4146875,18.46,78.3,38.3759375,23.11458333333333
2021-05-13,10.53,24.44,16.247395833333332,1.164791666666667,21.73,77.6,49.17947916666666,27.635416666666668
2021-05-14,11.51,25.03,17.742291666666667,0.9788541666666668,17.87,55.0,36.0865625,67.25
