date,t_min,t_max,temp,wind,humidity_min,humidity_max,humidity,clouds
2021-01-15,7.72,31.48,18.2790625,2.956875,13.2,79.91,48.57770833333333,0.0
2021-01-16,6.87,29.81,17.373437499999998,2.3096875,18.8,84.38,50.8525,0.4375
2021-01-17,8.5,33.6,19.674166666666668,2.5627083333333336,8.58,77.95,43.15875,0.0
2021-01-18,8.75,31.54,18.93489583333333,2.5229166666666667,20.87,80.65,49.498125,0.0
2021-01-19,8.78,31.45,18.926979166666666,2.58375,22.29,84.74,54.861250000000005,0.0208333333333333
2021-01-20,10.35,33.82,20.313854166666665,2.5319791666666664,17.9,83.5,51.463750000000005,4.552083333333333
2021-01-21,10.47,32.41,20.07739583333333,2.707708333333333,24.55,87.85,56.49458333333333,28.05208333333333
