date,t_min,t_max,temp,wind,humidity_min,humidity_max,humidity,clouds
2021-07-03,8.56,17.29,11.677604166666669,1.24125,27.12,62.3,41.4415625,81.8125
2021-07-04,5.34,18.31,11.127708333333333,1.1794791666666666,33.4,73.68,53.738125,33.291666666666664
2021-07-05,8.54,20.65,13.198541666666666,1.37875,23.62,64.9,44.44020833333334,0.0
2021-07-06,5.38,16.2,9.7821875,1.6777083333333334,43.4,98.6,69.19333333333334,29.822916666666668
2021-07-07,5.79,17.85,10.4578125,1.281979166666667,39.9,94.45,70.31833333333334,39.802083333333336
2021-07-08,6.47,21.04,11.951145833333332,1.069375,22.63,80.88,55.89385416666667,9.708333333333334
2021-07-09,6.69,21.98,12.308020833333332,1.0453125,20.47,78.6,54.96395833333333,42.6875
