,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,08-06-2022,4°,16°,71%,91%,S 12 km/h,0 days 10:00:00,Muy nublado
1,09-06-2022,6°,18°,64%,59%,SE 10 km/h,0 days 09:59:00,Nublado
2,10-06-2022,6°,22°,38%,48%,ESE 10 km/h,0 days 09:59:00,Mayormente soleado
3,11-06-2022,5°,21°,40%,67%,SE 12 km/h,0 days 09:59:00,Mayormente soleado
4,12-06-2022,5°,19°,55%,78%,SSE 12 km/h,0 days 09:58:00,Nublado
5,13-06-2022,4°,16°,67%,88%,SSO 14 km/h,0 days 09:58:00,Nublado
6,14-06-2022,3°,13°,78%,93%,SSO 14 km/h,0 days 09:57:00,Parcialmente nublado
7,15-06-2022,2°,14°,77%,89%,S 12 km/h,0 days 09:57:00,Parcialmente nublado
8,16-06-2022,2°,13°,72%,81%,S 11 km/h,0 days 09:57:00,Parcialmente nublado
9,17-06-2022,2°,13°,69%,79%,SSE 11 km/h,0 days 09:56:00,Mayormente soleado
10,18-06-2022,3°,13°,67%,77%,SE 11 km/h,0 days 09:56:00,Parcialmente nublado
11,19-06-2022,3°,13°,68%,80%,SE 11 km/h,0 days 09:56:00,Muy nublado
12,20-06-2022,3°,13°,70%,79%,SE 10 km/h,0 days 09:56:00,Muy nublado
13,21-06-2022,2°,12°,70%,81%,SE 11 km/h,0 days 09:56:00,Chubascos
