,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,01-07-2022,1°,11°,84%,89%,NNE 15 km/h,0 days 09:59:00,Lluvia
1,02-07-2022,2°,12°,70%,77%,SE 11 km/h,0 days 09:59:00,Parcialmente nublado
2,03-07-2022,0°,11°,66%,80%,ESE 8 km/h,0 days 10:00:00,Nublado
3,04-07-2022,0°,13°,61%,73%,SE 11 km/h,0 days 10:00:00,Soleado
4,05-07-2022,1°,12°,64%,77%,SSE 11 km/h,0 days 10:01:00,Mayormente soleado
5,06-07-2022,2°,14°,61%,69%,ESE 10 km/h,0 days 10:01:00,Chubascos matinales
6,07-07-2022,5°,17°,54%,64%,ESE 9 km/h,0 days 10:02:00,Mayormente soleado
7,08-07-2022,4°,17°,58%,73%,ESE 11 km/h,0 days 10:02:00,Parcialmente nublado
8,09-07-2022,5°,17°,60%,75%,ESE 12 km/h,0 days 10:04:00,Chubascos por la tarde
9,10-07-2022,4°,15°,65%,75%,ESE 10 km/h,0 days 10:04:00,Chubascos
10,11-07-2022,4°,15°,67%,77%,ESE 11 km/h,0 days 10:05:00,Chubascos por la tarde
11,12-07-2022,4°,16°,64%,78%,ESE 10 km/h,0 days 10:05:00,Parcialmente nublado
12,13-07-2022,4°,16°,67%,77%,ESE 12 km/h,0 days 10:07:00,Parcialmente nublado
13,14-07-2022,4°,16°,65%,74%,ESE 10 km/h,0 days 10:07:00,Parcialmente nublado
