,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,03-06-2022,7°,12°,82%,85%,ENE 12 km/h,0 days 10:03:00,Lluvia
1,04-06-2022,6°,14°,78%,83%,ESE 11 km/h,0 days 10:02:00,Muy nublado
2,05-06-2022,3°,16°,70%,76%,SE 11 km/h,0 days 10:01:00,Mayormente soleado
3,06-06-2022,4°,18°,61%,77%,SE 11 km/h,0 days 10:01:00,Mayormente soleado
4,07-06-2022,4°,17°,65%,79%,SE 11 km/h,0 days 10:00:00,Mayormente soleado
5,08-06-2022,4°,18°,59%,70%,ESE 11 km/h,0 days 10:00:00,Muy nublado
6,09-06-2022,6°,19°,55%,59%,ESE 10 km/h,0 days 09:59:00,Nublado
7,10-06-2022,5°,20°,47%,58%,ESE 11 km/h,0 days 09:59:00,Mayormente soleado
8,11-06-2022,5°,19°,47%,72%,SE 12 km/h,0 days 09:59:00,Mayormente soleado
9,12-06-2022,4°,17°,62%,76%,SE 12 km/h,0 days 09:58:00,Nublado
10,13-06-2022,4°,16°,67%,80%,SSE 12 km/h,0 days 09:58:00,Nublado
11,14-06-2022,3°,15°,69%,81%,SSE 11 km/h,0 days 09:57:00,Parcialmente nublado
12,15-06-2022,3°,15°,67%,74%,SE 11 km/h,0 days 09:57:00,Parcialmente nublado
13,16-06-2022,3°,15°,62%,74%,SE 11 km/h,0 days 09:57:00,Parcialmente nublado
