,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,07-06-2022,5°,18°,67%,83%,S 10 km/h,0 days 10:00:00,Mayormente soleado
1,08-06-2022,4°,17°,69%,89%,S 13 km/h,0 days 10:00:00,Muy nublado
2,09-06-2022,6°,18°,65%,60%,SE 11 km/h,0 days 09:59:00,Nublado
3,10-06-2022,7°,22°,39%,47%,ESE 10 km/h,0 days 09:59:00,Mayormente soleado
4,11-06-2022,5°,21°,40%,69%,SE 13 km/h,0 days 09:59:00,Mayormente soleado
5,12-06-2022,5°,20°,53%,75%,SE 12 km/h,0 days 09:58:00,Nublado
6,13-06-2022,4°,16°,68%,92%,SSO 14 km/h,0 days 09:58:00,Nublado
7,14-06-2022,4°,14°,77%,88%,S 12 km/h,0 days 09:57:00,Parcialmente nublado
8,15-06-2022,3°,14°,76%,84%,S 11 km/h,0 days 09:57:00,Parcialmente nublado
9,16-06-2022,3°,14°,70%,82%,S 12 km/h,0 days 09:57:00,Parcialmente nublado
10,17-06-2022,3°,13°,68%,79%,SSE 11 km/h,0 days 09:56:00,Mayormente soleado
11,18-06-2022,3°,13°,70%,81%,SE 11 km/h,0 days 09:56:00,Parcialmente nublado
12,19-06-2022,3°,13°,70%,81%,SE 11 km/h,0 days 09:56:00,Muy nublado
13,20-06-2022,2°,12°,71%,81%,SE 11 km/h,0 days 09:56:00,Muy nublado
