,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,10-06-2022,6°,22°,40%,47%,ESE 9 km/h,0 days 09:59:00,Mayormente soleado
1,11-06-2022,5°,22°,40%,70%,SE 12 km/h,0 days 09:59:00,Mayormente soleado
2,12-06-2022,5°,19°,53%,75%,SE 11 km/h,0 days 09:58:00,Nublado
3,13-06-2022,4°,17°,61%,89%,S 13 km/h,0 days 09:58:00,Nublado
4,14-06-2022,3°,15°,72%,85%,SSO 13 km/h,0 days 09:57:00,Parcialmente nublado
5,15-06-2022,3°,13°,75%,94%,SSO 14 km/h,0 days 09:57:00,Parcialmente nublado
6,16-06-2022,1°,13°,75%,85%,S 11 km/h,0 days 09:57:00,Parcialmente nublado
7,17-06-2022,3°,14°,66%,77%,SSE 12 km/h,0 days 09:56:00,Mayormente soleado
8,18-06-2022,3°,13°,69%,85%,SSO 12 km/h,0 days 09:56:00,Parcialmente nublado
9,19-06-2022,3°,13°,74%,86%,SE 11 km/h,0 days 09:56:00,Muy nublado
10,20-06-2022,3°,12°,75%,85%,SE 11 km/h,0 days 09:56:00,Muy nublado
11,21-06-2022,3°,12°,73%,80%,SE 10 km/h,0 days 09:56:00,Chubascos
12,22-06-2022,2°,12°,71%,82%,SE 11 km/h,0 days 09:56:00,Lluvia
13,23-06-2022,2°,13°,71%,81%,SE 11 km/h,0 days 09:56:00,Lluvia
