,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,19-06-2022,4°,15°,57%,70%,ESE 8 km/h,0 days 09:56:00,Nublado
1,20-06-2022,4°,13°,64%,86%,SSO 12 km/h,0 days 09:56:00,Muy nublado
2,21-06-2022,4°,13°,75%,87%,SSE 10 km/h,0 days 09:56:00,Nublado
3,22-06-2022,4°,13°,84%,93%,ESE 8 km/h,0 days 09:56:00,Lluvia
4,23-06-2022,3°,12°,80%,87%,E 10 km/h,0 days 09:56:00,Chubascos
5,24-06-2022,1°,13°,75%,90%,SE 10 km/h,0 days 09:56:00,Muy nublado
6,25-06-2022,2°,13°,76%,86%,SSE 10 km/h,0 days 09:57:00,Parcialmente nublado
7,26-06-2022,3°,14°,70%,79%,ESE 10 km/h,0 days 09:57:00,Parcialmente nublado
8,27-06-2022,3°,15°,65%,76%,ESE 9 km/h,0 days 09:57:00,Parcialmente nublado
9,28-06-2022,5°,17°,59%,71%,ESE 9 km/h,0 days 09:58:00,Parcialmente nublado
10,29-06-2022,5°,17°,62%,85%,SE 10 km/h,0 days 09:57:00,Parcialmente nublado
11,30-06-2022,4°,15°,73%,87%,SO 11 km/h,0 days 09:57:00,Chubascos por la tarde
12,01-07-2022,4°,14°,75%,85%,S 9 km/h,0 days 09:58:00,Chubascos
13,02-07-2022,3°,15°,71%,83%,SE 10 km/h,0 days 09:59:00,Chubascos matinales
