,date,t_min,t_max,humidity_day,humidity_night,wind_speed,sunshine_duration,weather_condition
0,02-07-2022,3°,13°,70%,76%,SE 11 km/h,0 days 09:59:00,Parcialmente nublado
1,03-07-2022,0°,11°,66%,79%,ESE 7 km/h,0 days 10:00:00,Nublado
2,04-07-2022,0°,14°,65%,76%,SE 11 km/h,0 days 10:00:00,Soleado
3,05-07-2022,2°,13°,62%,81%,SSE 12 km/h,0 days 10:01:00,Soleado
4,06-07-2022,1°,13°,68%,77%,ESE 12 km/h,0 days 10:01:00,Lluvia
5,07-07-2022,4°,16°,56%,62%,ESE 9 km/h,0 days 10:02:00,Mayormente soleado
6,08-07-2022,5°,18°,53%,65%,ESE 11 km/h,0 days 10:02:00,Soleado
7,09-07-2022,5°,19°,51%,63%,ESE 10 km/h,0 days 10:04:00,Soleado
8,10-07-2022,4°,17°,55%,74%,ESE 12 km/h,0 days 10:04:00,Algunos chubascos
9,11-07-2022,3°,14°,74%,88%,SSE 11 km/h,0 days 10:05:00,Chubascos
10,12-07-2022,3°,15°,74%,81%,SSE 11 km/h,0 days 10:05:00,Parcialmente nublado
11,13-07-2022,3°,15°,67%,77%,ESE 11 km/h,0 days 10:07:00,Parcialmente nublado
12,14-07-2022,4°,15°,65%,75%,ESE 11 km/h,0 days 10:07:00,Parcialmente nublado
13,15-07-2022,4°,16°,62%,73%,ESE 11 km/h,0 days 10:09:00,Mayormente soleado
